,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
01003,"Lübeck, Stadt",krsfr. Stadt,76.5,77.1,75.4,71.7,66.5,67.0,70.7,39.0,32.6,31.3,30.6,26.6,33.7,28.9,43.0,48.1,48.2,44.0,30.5,34.5,25.5,8.5,7.5,9.9,9.2,13.9,11.2,12.9,5.7,6.3,6.5,8.3,14.0,4.7,10.7,1.4,1.8,1.6,5.7,10.1,6.6,9.7,8.9,103.0,109.9,100.7,102.2,25.5,6.1,98.2,54.0,93.0,36.9,188.7,128.7,3473.0,1598.0,501.7,267.6
01004,"Neumünster, Stadt",krsfr. Stadt,74.5,75.9,73.8,71.4,63.8,64.5,66.0,38.9,31.7,33.5,33.3,30.1,36.0,31.1,45.6,52.2,48.5,42.4,31.0,35.8,25.7,6.1,4.9,6.6,6.5,11.0,7.5,10.5,6.1,5.8,7.2,9.4,15.0,4.9,12.1,1.1,1.6,1.3,5.1,8.4,5.5,7.1,10.3,96.0,83.3,99.6,99.9,45.7,23.2,60.3,30.1,3.5,3.5,0.0,0.0,4710.6,2041.0,56.5,21.9
01051,Dithmarschen,Landkreis,78.6,79.5,76.8,76.0,69.2,68.5,72.2,45.3,40.3,40.8,41.7,36.5,43.5,36.7,39.0,44.2,41.7,35.7,24.3,30.2,23.4,6.0,4.1,5.4,5.1,8.4,6.3,8.0,7.1,7.0,8.5,10.5,18.8,6.5,14.6,0.7,1.1,1.3,4.5,7.9,4.8,6.2,8.6,98.1,97.5,99.8,95.0,41.9,24.2,113.5,79.0,61.7,7.9,0.1,0.0,3188.6,1562.9,110.1,50.1
01053,Herzogtum Lauenburg,Landkreis,81.9,83.2,80.9,79.4,74.1,73.9,76.8,43.6,36.9,38.0,36.9,32.6,40.2,34.2,36.4,43.6,40.9,36.7,26.1,29.9,23.0,8.5,6.2,8.9,8.6,12.1,9.0,10.5,7.7,7.7,8.0,10.8,16.9,5.8,12.8,1.2,1.5,1.2,4.6,8.2,5.2,6.6,10.2,99.5,104.1,98.5,98.0,36.5,22.0,31.3,12.7,13.3,1.6,5.9,3.1,3161.6,1443.7,678.3,446.9
01054,Nordfriesland,Landkreis,78.0,79.8,79.5,77.2,70.6,70.4,74.7,42.6,38.3,39.3,41.4,36.3,43.1,38.7,38.8,43.6,42.8,36.4,24.6,29.5,22.2,7.7,6.1,7.1,6.7,12.6,8.8,12.1,8.7,8.0,8.1,9.9,16.5,6.4,12.6,0.7,1.2,1.1,3.6,6.3,4.2,6.3,5.8,97.2,95.4,101.0,91.0,21.7,11.5,169.2,80.1,149.8,73.2,0.0,0.0,2848.4,1264.3,49.1,24.5
01055,Ostholstein,Landkreis,79.9,81.4,79.7,78.0,71.3,72.2,75.3,44.5,38.1,38.5,37.9,32.8,41.1,35.6,39.1,44.8,44.0,38.7,28.4,31.7,24.8,6.5,5.0,7.0,6.6,10.5,7.9,9.7,7.2,7.5,7.8,10.4,17.7,6.3,13.3,0.9,1.2,0.9,4.2,7.2,4.3,6.0,8.5,99.9,103.4,99.2,98.6,70.7,62.4,177.4,112.1,171.1,80.5,0.0,0.0,2242.9,1011.4,27.2,17.4
01056,Pinneberg,Landkreis,83.0,83.8,82.9,80.7,74.3,75.3,78.1,41.2,35.4,35.5,36.8,33.1,40.6,34.3,38.0,44.9,41.6,37.4,26.3,31.2,22.9,9.0,6.6,10.2,9.1,12.1,8.6,11.4,8.4,8.3,8.3,10.3,16.6,5.6,13.3,1.2,1.5,1.2,4.4,7.8,5.0,7.0,8.6,105.8,125.9,100.7,101.7,53.5,28.5,0.5,0.5,8.2,6.2,0.3,0.2,2929.7,1336.9,49.7,19.3
01057,Plön,Landkreis,83.3,84.8,83.3,81.3,75.9,76.2,79.6,42.7,36.9,36.5,37.3,32.7,39.7,34.2,40.0,45.1,42.9,38.5,27.6,31.6,23.2,7.7,6.3,9.6,8.4,13.6,10.2,13.6,6.7,7.2,7.8,9.5,16.1,5.6,12.8,1.1,1.4,1.2,4.1,6.5,4.4,6.3,7.7,98.9,96.7,100.1,98.4,18.7,10.8,14.6,8.1,19.6,6.9,6.6,4.6,2020.0,853.1,48.7,22.5
01058,Rendsburg-Eckernförde,Landkreis,81.6,82.6,81.2,79.8,74.5,74.9,78.2,42.0,36.7,37.4,38.1,33.9,40.8,36.1,39.4,44.5,42.1,37.3,26.6,31.3,22.7,7.8,6.3,9.3,8.2,12.9,9.4,12.6,8.0,8.2,8.2,10.1,16.1,5.6,12.4,0.9,1.3,1.2,4.1,6.5,4.3,6.3,7.3,96.3,91.6,99.9,92.9,81.1,26.5,24.0,17.0,87.3,4.4,0.0,0.0,2249.6,1010.8,88.7,45.8
01059,Schleswig-Flensburg,Landkreis,80.6,81.8,80.1,78.6,72.8,73.0,76.5,43.0,37.9,39.1,39.4,35.0,41.3,37.1,40.1,45.6,42.4,37.3,25.5,31.4,23.3,7.3,5.8,8.2,7.1,12.9,8.9,12.3,7.1,6.7,7.6,10.1,15.5,5.2,11.5,0.8,1.1,1.1,4.2,7.2,4.6,6.9,6.6,97.1,89.4,99.6,98.6,11.5,9.8,122.4,25.9,70.8,49.0,3.4,2.2,3092.0,1349.6,28.3,13.5
01060,Segeberg,Landkreis,80.5,82.1,80.6,79.2,72.9,73.4,76.5,44.4,37.5,37.5,37.4,33.5,41.7,35.2,36.2,43.4,40.5,36.0,24.8,29.8,22.2,7.8,5.8,8.8,8.1,11.4,8.2,10.5,8.3,8.6,9.1,11.6,17.9,5.8,13.5,1.1,1.5,1.2,4.4,8.1,4.9,6.8,9.0,105.6,138.0,100.6,93.7,8.6,3.9,0.0,0.0,0.0,0.0,6.8,2.2,2520.2,1214.1,77.4,33.4
01061,Steinburg,Landkreis,80.0,81.5,79.9,77.8,71.1,71.5,74.8,42.3,36.7,37.5,37.6,33.6,41.0,36.1,40.4,45.6,41.9,37.4,26.0,30.5,23.0,7.6,5.6,8.4,7.0,11.0,8.0,10.6,7.2,7.6,8.5,10.3,16.7,5.8,12.3,0.9,1.2,1.3,4.6,7.9,5.3,7.0,8.2,96.9,92.5,99.5,95.3,69.1,40.6,184.5,60.5,34.5,23.5,0.7,0.5,2934.4,1360.2,178.8,80.9
01062,Stormarn,Landkreis,83.9,84.8,83.9,81.9,76.2,76.8,80.4,43.0,36.6,36.7,37.1,33.4,40.7,34.6,35.3,42.8,40.1,35.6,24.9,29.7,21.7,9.4,7.1,10.6,9.9,13.1,9.6,11.7,8.8,8.7,8.4,11.3,17.5,6.0,14.0,1.1,1.4,1.2,4.2,7.5,4.7,6.5,9.1,102.2,114.8,98.3,100.8,35.6,19.8,0.0,0.0,0.0,0.0,1.1,0.3,2091.3,946.7,75.6,46.1
02000,"Hamburg, Stadt",krsfr. Stadt,79.1,80.2,78.9,76.7,70.5,69.5,75.4,34.9,30.0,28.1,28.9,27.8,32.1,27.2,39.7,45.7,42.0,38.7,27.4,32.4,23.5,12.6,10.8,16.2,14.9,15.6,12.7,13.9,7.2,6.5,6.8,9.0,13.2,4.8,10.8,2.2,2.3,2.1,6.3,11.2,8.8,12.2,7.8,106.7,129.9,101.1,101.7,46.8,28.6,0.0,0.0,0.0,0.0,127.1,75.5,3066.1,1456.1,914.8,374.8
03101,"Braunschweig, Stadt",krsfr. Stadt,80.8,82.3,79.1,77.4,72.9,73.4,76.4,39.8,30.4,29.8,28.9,29.0,34.0,29.0,39.6,50.1,49.7,44.5,28.7,33.6,26.4,9.0,8.2,10.0,9.9,14.3,12.4,11.8,7.6,6.7,6.9,8.5,11.4,4.4,10.0,1.5,1.3,1.6,5.6,9.9,6.7,9.3,8.4,101.1,104.9,99.9,100.3,29.2,18.4,21.0,11.5,76.9,0.0,462.1,267.2,2614.7,1167.7,1632.5,695.8
03102,"Salzgitter, Stadt",krsfr. Stadt,79.6,81.3,76.8,75.4,69.3,67.8,70.9,40.1,30.6,31.5,29.5,29.6,33.2,26.0,47.2,58.1,55.7,50.8,36.3,41.9,33.6,4.5,3.0,4.0,4.3,7.0,5.8,4.8,4.5,4.0,5.2,6.2,8.9,3.0,6.6,0.9,0.9,0.9,5.7,12.3,6.9,8.2,16.4,96.1,86.1,99.2,98.6,45.4,29.8,0.0,0.0,0.0,0.0,0.0,0.0,3025.6,1472.6,202.0,63.2
03103,"Wolfsburg, Stadt",krsfr. Stadt,81.1,82.4,79.1,76.0,69.6,68.9,73.2,45.1,35.2,34.0,32.1,35.0,41.9,34.1,41.0,51.2,52.3,46.5,31.7,34.0,28.9,4.9,4.3,5.5,6.2,9.1,6.9,6.2,5.5,5.0,5.2,7.6,9.7,3.7,8.3,0.8,0.7,0.8,4.5,8.5,5.1,7.2,11.7,102.0,111.6,98.4,102.3,54.4,44.6,0.0,0.0,0.0,0.0,0.0,0.0,2520.7,1058.5,634.4,202.9
03151,Gifhorn,Landkreis,82.0,84.3,81.7,79.7,72.7,73.2,76.6,46.0,36.8,36.6,34.9,36.6,44.0,36.2,36.8,48.2,48.3,43.1,30.0,32.2,27.3,6.1,4.5,5.8,6.2,8.9,7.4,7.1,7.4,6.1,6.4,8.8,11.4,3.7,8.7,0.7,0.7,0.8,3.9,7.7,4.5,5.9,11.4,98.2,94.3,99.3,99.1,5.8,4.1,55.0,2.4,0.5,0.0,0.0,0.0,2522.0,1073.7,61.3,8.9
03152,Göttingen,Landkreis,82.2,83.5,80.4,78.6,73.0,73.6,76.3,38.1,31.1,32.5,30.5,28.7,36.0,30.5,40.8,49.1,47.2,43.0,30.5,34.1,29.1,10.1,8.8,10.1,9.9,13.6,11.4,10.9,7.5,6.3,6.6,8.8,13.5,4.0,9.0,1.5,1.6,1.6,5.1,8.8,6.2,8.3,8.1,98.7,96.0,100.7,96.6,62.1,37.7,133.3,57.7,21.4,13.2,749.1,325.7,3025.3,1303.3,1182.8,553.8
03153,Goslar,Landkreis,81.3,82.6,78.8,77.0,71.1,69.9,73.4,42.9,33.9,35.1,32.4,31.3,38.3,31.1,40.5,51.1,49.8,44.7,31.8,37.2,31.8,5.4,4.2,5.0,5.4,7.9,6.4,6.2,7.7,6.3,7.0,9.3,13.2,4.2,9.1,1.0,1.2,1.1,5.5,10.7,5.6,7.0,11.1,95.6,86.3,100.0,94.4,47.9,31.3,289.7,130.9,73.4,53.1,111.8,51.0,3035.5,1340.0,549.6,334.8
03154,Helmstedt,Landkreis,81.4,83.1,79.6,77.4,72.2,71.0,73.7,44.9,33.7,33.9,31.8,32.2,39.5,34.8,41.3,52.2,52.2,46.6,31.7,36.1,31.2,4.9,4.1,4.7,5.2,8.9,6.7,5.8,5.9,5.4,5.8,7.9,11.6,3.6,7.9,0.7,1.0,1.0,4.6,8.6,4.8,6.3,9.9,93.8,84.1,98.6,92.2,42.2,17.1,163.6,42.6,0.0,0.0,0.0,0.0,3549.9,1533.7,31.6,13.7
03155,Northeim,Landkreis,83.0,85.0,80.4,78.7,72.9,71.4,74.8,37.9,30.5,32.2,30.0,29.2,37.5,32.5,46.8,54.7,53.0,47.8,34.8,39.2,33.3,5.4,4.4,5.3,5.7,8.5,7.1,6.8,7.0,6.1,6.6,9.2,13.7,3.8,8.8,0.7,0.9,0.9,4.4,9.1,4.5,5.7,9.5,94.1,82.8,99.2,93.7,77.5,36.3,117.7,30.7,16.1,1.9,4.4,2.2,3064.3,1406.0,102.1,43.3
03156,Osterode am Harz,Landkreis,82.2,83.5,80.4,78.6,73.0,73.6,76.3,38.1,31.1,32.5,30.5,28.7,36.0,30.5,40.8,49.1,47.2,43.0,30.5,34.1,29.1,10.1,8.8,10.1,9.9,13.6,11.4,10.9,7.5,6.3,6.6,8.8,13.5,4.0,9.0,1.5,1.6,1.6,5.1,8.8,6.2,8.3,8.1,94.3,82.9,99.4,93.9,62.1,37.7,133.3,57.7,21.4,13.2,749.1,325.7,3025.3,1303.3,1182.8,553.8
03157,Peine,Landkreis,83.0,85.2,81.8,80.3,74.3,74.7,77.0,37.3,28.2,29.7,29.0,29.7,35.9,31.0,48.5,58.4,56.1,50.8,36.4,40.6,33.9,5.5,4.3,5.5,5.8,8.8,7.4,7.1,5.6,5.1,5.7,7.3,10.8,3.3,7.8,0.7,0.7,0.8,4.5,9.1,4.9,6.1,10.3,99.4,97.9,99.7,100.1,37.2,21.8,2.5,0.0,9.5,0.0,0.0,0.0,2528.6,1086.6,118.9,46.6
03158,Wolfenbüttel,Landkreis,84.0,84.2,82.4,80.7,76.4,75.1,79.3,42.8,33.1,32.4,32.5,31.3,36.7,31.5,42.0,52.8,51.0,45.1,32.3,36.9,30.4,5.8,4.9,6.8,6.7,10.7,9.0,8.1,6.4,5.4,6.8,8.2,11.4,3.8,9.1,0.9,0.8,1.0,4.6,8.6,5.0,7.1,9.9,97.7,92.7,99.5,98.3,35.3,27.2,3.0,0.0,0.0,0.0,15.4,8.0,2102.5,973.1,755.7,93.3
03241,Region Hannover,Landkreis,82.2,83.7,81.2,79.3,74.1,73.6,76.7,38.3,30.2,29.8,29.0,29.4,36.3,29.9,40.4,51.1,50.7,45.7,31.2,34.8,27.5,8.7,7.6,9.4,9.6,12.8,10.9,10.6,8.3,6.6,6.6,8.9,12.7,4.5,10.0,1.4,1.1,1.2,4.3,8.6,5.7,8.2,9.4,102.1,108.6,100.9,99.5,28.3,18.0,0.0,0.0,0.0,0.0,285.9,147.0,2621.3,1186.6,626.6,289.0
03251,Diepholz,Landkreis,78.9,82.5,80.3,78.5,73.1,73.2,76.2,38.4,31.9,32.5,32.7,33.5,43.2,37.7,39.6,49.4,48.0,41.9,27.5,31.5,25.4,7.3,5.9,7.2,7.6,10.2,8.3,8.2,11.4,8.7,9.2,10.9,15.9,5.0,10.7,1.0,1.0,0.9,4.5,8.4,4.5,6.2,8.4,97.3,87.9,99.1,101.8,31.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2376.2,1123.4,20.2,9.4
03252,Hameln-Pyrmont,Landkreis,81.5,83.5,80.2,77.4,71.5,70.3,74.1,39.1,32.2,33.7,30.5,30.8,38.1,32.6,43.6,52.3,50.1,46.8,31.9,35.3,30.3,6.4,4.9,5.6,6.3,9.7,8.6,7.6,7.4,6.4,7.0,8.9,12.9,4.0,8.6,0.8,0.9,0.9,4.7,9.4,5.6,7.3,10.5,93.6,82.4,98.8,93.0,19.9,16.3,141.5,28.4,7.0,0.8,0.0,0.0,3049.0,1334.4,267.0,91.1
03254,Hildesheim,Landkreis,83.3,85.4,82.4,80.3,74.4,74.2,77.1,40.0,32.0,33.0,32.4,31.8,38.7,32.6,44.6,53.1,51.5,47.0,32.9,36.4,30.9,6.1,5.3,6.6,7.1,10.5,8.9,8.8,6.0,5.4,5.5,7.2,11.3,3.4,8.2,0.8,0.9,0.9,3.8,8.1,5.0,6.5,9.3,97.4,91.7,99.4,98.0,56.8,35.8,14.1,14.1,9.2,9.2,8.2,4.8,3004.9,1343.1,112.4,66.2
03255,Holzminden,Landkreis,83.1,84.8,81.0,78.3,71.6,71.9,73.9,36.7,30.6,32.5,27.8,26.4,36.7,31.1,47.8,55.1,52.6,47.5,34.9,37.6,34.0,5.1,4.1,5.0,6.1,8.9,8.2,6.7,7.4,5.9,6.7,11.8,16.8,5.5,10.2,0.6,1.0,0.9,4.0,8.5,4.7,5.4,9.6,97.7,91.3,99.8,99.1,78.2,26.1,299.1,114.4,14.0,14.0,0.0,0.0,2983.1,1305.2,53.4,22.6
03256,Nienburg (Weser),Landkreis,77.6,80.7,78.0,76.3,68.9,70.4,72.8,42.7,34.1,35.6,35.6,35.3,43.5,37.4,40.9,50.8,49.4,44.5,30.8,33.6,27.9,6.2,4.8,5.4,5.7,9.3,7.7,8.1,7.1,5.4,6.4,7.9,12.6,3.6,8.5,0.6,0.8,0.8,3.6,7.3,4.2,5.2,9.8,98.1,95.8,99.8,96.4,93.8,67.9,32.1,16.3,3.7,0.0,0.0,0.0,3129.7,1474.9,36.5,17.9
03257,Schaumburg,Landkreis,81.9,83.1,81.1,79.2,73.3,72.9,76.2,38.9,31.3,32.7,31.3,30.8,38.5,33.0,45.0,53.9,51.8,47.5,33.8,37.3,30.4,6.1,4.9,5.9,6.3,9.8,8.2,8.1,6.6,5.5,6.1,8.3,12.7,3.6,8.7,0.8,0.8,0.9,3.6,7.8,4.3,5.9,10.3,93.9,86.2,98.8,90.4,75.8,39.3,76.5,61.7,20.0,0.0,0.0,0.0,2751.2,1168.9,51.9,17.3
03351,Celle,Landkreis,80.5,82.5,79.2,78.0,71.2,71.9,74.8,47.3,38.8,39.6,37.7,37.0,45.5,37.0,34.6,43.5,42.8,39.3,27.0,29.0,24.2,5.3,4.6,6.1,5.9,8.4,7.0,7.2,8.5,6.8,7.3,9.9,15.0,4.4,10.8,0.8,0.9,0.9,4.0,7.1,4.3,5.5,11.7,96.9,91.8,98.2,98.6,80.1,54.1,144.3,36.7,35.6,17.1,0.0,0.0,3048.2,1416.6,115.8,54.3
03352,Cuxhaven,Landkreis,80.6,82.5,79.7,77.5,71.3,72.6,75.1,40.2,33.7,33.7,33.8,34.2,43.4,38.0,43.6,52.0,49.2,44.1,30.3,33.7,27.8,5.9,4.7,6.6,6.3,9.1,7.2,7.0,7.1,5.5,7.0,8.5,12.7,3.5,8.1,0.8,0.9,0.8,4.5,9.3,4.8,6.8,8.9,96.9,85.9,100.0,100.2,18.2,9.7,134.4,62.0,158.8,19.7,0.0,0.0,2514.2,1244.7,26.8,8.4
03353,Harburg,Landkreis,84.4,86.2,84.4,82.2,77.1,77.8,80.8,43.8,35.9,36.6,36.6,34.0,42.8,35.9,33.7,44.1,40.6,36.9,24.5,28.3,22.0,8.9,6.6,9.5,8.7,12.2,9.3,10.2,9.7,8.6,8.7,11.5,16.9,4.9,11.7,1.0,1.2,1.0,3.8,7.3,4.4,6.3,10.0,106.4,133.0,98.4,104.5,11.5,9.8,0.0,0.0,0.0,0.0,0.0,0.0,2344.0,1118.5,12.3,5.6
03354,Lüchow-Dannenberg,Landkreis,79.0,82.3,77.7,76.3,71.4,71.5,73.6,45.0,35.0,35.2,33.4,28.6,36.6,32.9,33.0,39.3,41.9,35.7,23.2,27.3,24.1,11.0,14.4,11.6,12.5,20.7,15.6,13.3,7.1,5.6,6.7,8.1,11.0,3.6,7.7,1.2,1.6,2.1,7.6,11.9,8.9,9.8,7.8,95.0,84.2,99.1,95.9,0.3,0.3,335.4,91.5,65.8,30.4,0.0,0.0,4024.6,2057.0,61.7,21.1
03355,Lüneburg,Landkreis,80.4,81.9,80.5,78.9,74.1,74.6,78.6,40.3,32.5,31.1,30.0,28.7,36.9,30.9,38.2,47.5,45.3,40.4,25.3,29.5,23.3,9.4,8.3,11.7,11.8,17.4,13.9,13.5,7.9,6.8,7.6,9.5,13.0,4.1,9.6,1.7,1.9,1.6,5.5,9.6,6.4,8.9,9.2,103.1,123.5,99.5,95.5,77.7,38.0,154.8,52.0,12.7,2.1,14.7,10.4,3173.3,1473.2,322.2,211.4
03356,Osterholz,Landkreis,81.9,84.1,81.6,79.6,75.0,73.6,77.8,35.3,28.6,29.4,28.3,30.6,38.4,34.3,43.6,51.4,49.3,44.0,29.8,34.2,26.9,9.6,8.0,9.5,9.5,11.6,9.5,9.0,7.8,6.8,7.9,9.5,12.6,3.5,8.6,1.3,1.4,1.1,5.7,10.9,6.1,8.2,9.6,99.4,101.7,100.4,95.7,51.0,21.3,13.5,13.5,0.0,0.0,0.0,0.0,1400.7,585.9,40.6,10.8
03357,Rotenburg (Wümme),Landkreis,80.1,82.9,80.1,78.5,72.5,73.6,76.5,45.8,38.8,38.7,38.5,37.2,46.4,41.0,36.2,46.1,43.7,38.2,26.2,29.7,25.0,7.2,5.7,6.8,7.1,9.9,8.1,8.0,8.1,5.9,7.6,9.8,14.8,4.2,8.6,0.8,0.9,0.9,3.8,7.2,4.0,5.8,8.1,95.9,99.3,96.5,91.9,45.2,22.8,2.6,1.0,4.9,0.0,0.0,0.0,2188.3,962.8,31.9,17.0
03358,Heidekreis,Landkreis,79.7,82.1,79.1,77.7,71.2,72.3,74.6,45.6,37.1,37.0,35.3,35.5,43.5,37.7,36.7,47.2,46.0,42.0,28.2,32.1,28.1,6.3,4.8,6.0,6.3,9.4,7.8,7.3,7.4,5.8,7.0,9.3,13.6,3.9,8.3,0.8,0.9,0.9,3.9,8.2,4.6,5.5,9.7,96.1,89.9,99.9,93.6,22.6,22.4,125.2,95.9,79.6,24.0,0.0,0.0,2936.7,1307.3,42.4,19.1
03359,Stade,Landkreis,80.8,82.6,79.9,78.3,72.2,73.5,76.7,41.0,34.2,35.0,35.1,35.4,43.3,37.2,39.9,49.6,46.0,41.6,27.9,31.7,24.9,7.4,5.7,7.8,7.3,10.3,8.0,8.4,8.6,6.3,7.3,9.3,13.8,4.2,9.9,1.0,1.2,1.0,4.0,7.7,4.3,6.5,9.5,101.5,112.1,97.3,102.2,59.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,2766.4,1309.8,72.6,44.2
03360,Uelzen,Landkreis,81.0,83.2,80.2,78.5,72.2,73.1,75.4,44.1,35.5,35.7,33.9,33.2,41.3,35.8,38.3,47.3,47.1,42.7,27.7,32.2,27.6,7.3,6.6,7.3,7.5,11.5,9.1,8.7,7.1,6.0,6.7,8.9,13.1,3.7,8.9,0.8,1.0,1.1,4.5,8.4,5.0,6.4,9.4,95.7,85.6,99.4,96.8,37.7,21.9,516.3,146.6,112.3,32.2,0.0,0.0,3060.9,1545.2,89.5,38.5
03361,Verden,Landkreis,81.4,84.0,80.8,79.0,74.3,74.2,77.0,37.7,30.6,31.5,31.2,33.2,41.3,35.5,40.7,49.4,48.4,43.4,28.8,32.2,26.0,9.4,8.1,9.1,8.7,12.1,9.6,9.5,8.7,7.2,7.6,8.9,12.3,3.8,9.1,1.1,1.2,1.1,4.4,8.6,5.2,6.5,9.7,99.0,101.3,100.5,94.0,25.4,10.5,0.0,0.0,0.0,0.0,0.1,0.1,2932.6,1326.9,36.1,16.1
03401,"Delmenhorst, Stadt",krsfr. Stadt,77.5,80.3,76.5,73.8,66.6,66.7,69.6,36.4,29.2,30.5,27.2,29.9,37.1,30.6,46.9,55.6,52.3,46.8,28.7,36.3,29.5,5.8,4.8,6.4,6.8,9.9,6.9,6.6,6.6,5.4,6.7,9.4,12.1,3.5,8.4,1.2,1.1,1.2,6.3,12.5,6.6,7.9,13.1,96.5,94.0,98.3,94.9,84.5,54.5,4.4,4.4,0.0,0.0,0.0,0.0,3943.1,1888.6,27.2,14.1
03402,"Emden, Stadt",krsfr. Stadt,76.8,79.4,76.1,73.9,66.2,66.4,70.7,25.1,22.3,19.5,19.6,20.3,26.0,22.5,60.0,64.3,63.9,60.2,41.0,48.6,38.2,6.0,5.3,6.8,7.2,12.4,9.2,8.5,5.5,4.3,6.7,6.1,9.6,3.1,7.1,1.1,1.3,1.2,4.6,12.2,6.0,10.0,10.0,92.9,81.9,98.0,91.8,118.4,61.6,250.1,129.8,30.4,15.2,6.6,4.6,3928.0,1954.1,168.4,49.7
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,79.6,81.9,79.3,78.1,72.9,73.6,77.3,31.3,27.3,25.4,25.0,25.0,30.9,26.9,43.1,48.5,48.4,44.2,27.5,33.5,25.6,12.8,12.2,14.4,14.0,18.2,15.0,15.1,8.8,7.1,7.9,8.3,12.9,4.4,9.5,1.9,2.0,2.1,6.3,11.2,8.0,11.6,6.7,101.6,109.1,100.7,97.6,39.0,22.6,39.0,20.8,51.1,20.3,446.8,331.1,3241.2,1481.9,1037.5,440.3
03404,"Osnabrück, Stadt",krsfr. Stadt,80.8,81.7,78.5,77.2,72.1,70.5,75.4,39.2,33.8,33.7,32.4,30.6,38.9,32.0,39.4,45.0,43.7,40.2,26.7,31.0,24.0,9.8,9.4,11.7,11.7,15.2,12.9,14.1,8.5,8.1,8.4,9.8,14.2,4.5,10.0,1.3,1.2,1.2,4.2,9.1,6.0,9.9,6.2,100.5,99.4,100.9,100.5,48.6,18.2,0.0,0.0,0.0,0.0,163.6,99.1,4104.8,1893.1,575.1,341.7
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,78.8,80.1,76.2,73.8,66.6,67.1,69.6,35.7,30.4,30.9,29.4,28.8,36.6,29.9,48.9,54.6,52.2,46.7,30.0,36.3,30.0,5.7,4.3,5.6,5.6,8.8,7.2,7.2,5.7,4.9,7.2,8.1,13.5,3.6,9.0,1.1,1.2,1.3,5.9,13.1,6.5,8.7,10.6,94.6,86.8,98.4,93.3,89.9,61.2,197.1,4.6,0.0,0.0,18.2,11.1,4231.3,2090.7,122.5,62.1
03451,Ammerland,Landkreis,78.4,82.1,79.5,78.4,72.6,73.5,77.0,37.5,32.3,31.8,32.7,32.4,40.9,35.4,41.2,49.7,48.3,43.7,26.7,31.4,26.6,7.0,5.6,7.1,7.1,11.6,9.1,9.0,11.9,8.7,10.0,10.6,16.9,6.0,11.5,0.8,0.9,0.8,3.7,7.7,4.5,6.4,7.9,92.8,82.9,95.8,95.1,6.6,0.1,35.6,0.0,44.3,0.0,0.0,0.0,1854.4,801.2,68.2,19.8
03452,Aurich,Landkreis,79.2,81.8,79.6,76.6,69.6,70.2,74.4,30.4,26.8,25.2,26.2,25.6,34.0,29.4,54.9,60.8,61.2,54.8,38.2,42.7,37.7,5.9,4.7,5.3,6.0,9.9,8.1,7.2,6.2,4.4,5.8,6.2,10.6,3.3,7.2,0.8,0.9,0.9,4.4,11.3,4.7,6.5,8.9,94.9,86.3,97.5,97.0,37.8,27.5,129.8,15.8,81.1,0.0,0.0,0.0,3307.1,1695.2,40.5,16.8
03453,Cloppenburg,Landkreis,78.7,82.5,78.4,75.2,67.3,68.9,72.3,63.3,58.6,58.5,56.7,54.2,62.9,52.5,24.0,31.0,29.1,26.2,17.0,20.6,18.6,4.2,2.7,3.2,3.0,5.0,3.8,4.4,6.9,5.2,7.2,9.5,15.0,4.4,8.8,0.4,0.5,0.5,2.4,5.6,3.0,4.6,9.1,94.2,80.7,96.3,102.1,18.7,18.7,131.3,24.7,60.4,3.4,0.2,0.1,3126.3,1456.9,50.1,32.5
03454,Emsland,Landkreis,81.1,83.6,81.0,79.2,73.0,73.4,77.0,61.0,53.5,54.9,53.3,50.3,60.4,52.6,26.4,34.3,32.5,29.7,19.4,22.2,20.3,4.0,3.1,3.7,3.8,6.4,4.8,5.5,6.9,6.5,7.2,8.8,14.8,4.3,8.9,0.4,0.5,0.5,2.7,5.7,3.0,4.4,6.3,95.1,88.1,99.2,92.5,46.5,27.5,0.0,0.0,0.0,0.0,0.0,0.0,2380.7,1149.7,73.3,25.3
