,,Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Langname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Berechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Einheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anmerkungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quelle,von INKAR,von INKAR,von INKAR,,,,,,,,,,,,,,von INKAR,,,,,,,,von INKAR,,,,,,,,,,,,,,,
,,Standardisierung,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennziffer,Raumeinheit,Aggregat,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche
,,,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
01056,Pinneberg,Landkreis,190876.0000,192047.0000,193598.0000,193598.0000,195249.0000,197361.0000,198867.0000,199922.0000,159048.0000,158563.6364,163240.7407,166814.8148,166865.3846,168346.1538,171900.0000,174978.2609,107847.0000,112407.0000,113801.0000,115992.0000,118633.0000,121036.0000,123583.0000,126377.0000,297307.0000,297970.0000,299637.0000,302512.0000,305565.0000,309447.0000,311713.0000,313787.0000,664.2800,664.2800,664.2800,664.2800,664.2800,664.2800,664.2800,664.2800
01057,Plön,Landkreis,79425.0000,78868.0000,78601.0000,78601.0000,78519.0000,79325.0000,79251.0000,79029.0000,63106.0000,63385.9649,63964.2857,64017.5439,64963.6364,64592.5926,65360.0000,65066.6667,40216.0000,41442.0000,41946.0000,42716.0000,43265.0000,43285.0000,44513.0000,45394.0000,127212.0000,127023.0000,126536.0000,126692.0000,127225.0000,128947.0000,128763.0000,128777.0000,1083.1700,1083.1700,1083.1700,1083.1700,1083.1700,1083.1700,1083.1700,1083.1700
01058,Rendsburg-Eckernförde,Landkreis,171941.0000,171341.0000,171048.0000,171048.0000,170910.0000,171770.0000,172330.0000,172378.0000,134185.0000,133763.6364,134859.6491,137236.3636,138750.0000,138000.0000,138163.2653,141441.8605,86298.0000,89484.0000,90180.0000,91295.0000,92591.0000,94363.0000,96527.0000,98289.0000,268846.0000,268445.0000,268000.0000,268110.0000,269006.0000,272155.0000,272999.0000,272748.0000,2189.1700,2189.1700,2189.1700,2189.1700,2189.1700,2189.1700,2189.1700,2189.1700
01059,Schleswig-Flensburg,Landkreis,124425.0000,123931.0000,123728.0000,123728.0000,123854.0000,124487.0000,124948.0000,125042.0000,94453.0000,99556.9620,102311.6883,102958.9041,102820.8955,103887.0968,103966.6667,106188.6792,58651.0000,60987.0000,61740.0000,62773.0000,64106.0000,65401.0000,67460.0000,69117.0000,195721.0000,195382.0000,194797.0000,195245.0000,196042.0000,198704.0000,199373.0000,199558.0000,2071.3400,2071.3400,2071.3400,2071.3400,2071.3400,2071.3400,2071.3400,2071.3400
01060,Segeberg,Landkreis,170139.0000,170534.0000,171084.0000,171084.0000,171854.0000,173226.0000,175917.0000,176342.0000,139189.0000,139916.6667,140607.8431,143940.0000,144000.0000,145562.5000,147127.6596,149976.7442,96034.0000,98708.0000,99657.0000,101151.0000,103373.0000,106060.0000,108632.0000,110831.0000,261141.0000,261480.0000,262315.0000,263920.0000,266111.0000,270643.0000,273268.0000,275184.0000,1344.3900,1344.3900,1344.3900,1344.3900,1344.3900,1344.3900,1344.3900,1344.3900
01061,Steinburg,Landkreis,84228.0000,84110.0000,84118.0000,84118.0000,84147.0000,84981.0000,84949.0000,84499.0000,67799.0000,67508.4746,68131.1475,68619.0476,69593.7500,70063.4921,70131.1475,70660.7143,44053.0000,45406.0000,45679.0000,46407.0000,46760.0000,47710.0000,48948.0000,49950.0000,130543.0000,130432.0000,130182.0000,130161.0000,130294.0000,131976.0000,132070.0000,131380.0000,1056.1300,1056.1300,1056.1300,1056.1300,1056.1300,1056.1300,1056.1300,1056.1300
01062,Stormarn,Landkreis,146823.0000,147788.0000,148609.0000,148609.0000,149815.0000,151551.0000,152397.0000,152270.0000,119315.0000,119073.1707,120642.8571,125200.0000,124947.3684,126638.8889,128294.1176,128343.7500,81787.0000,84377.0000,85968.0000,87636.0000,89204.0000,90045.0000,92306.0000,94145.0000,231376.0000,231929.0000,233310.0000,235662.0000,237755.0000,241278.0000,242365.0000,242880.0000,766.3300,766.3300,766.3300,766.3300,766.3300,766.3300,766.3300,766.3300
02000,"Hamburg, Stadt",krsfr. Stadt,1164093.0000,1176975.0000,1184960.0000,1184960.0000,1194586.0000,1211143.0000,1225179.0000,1237822.0000,927443.0000,939133.3333,966986.4865,969250.0000,990418.9189,995295.7746,1018352.9412,1041095.2381,618492.0000,638613.0000,651813.0000,665212.0000,684985.0000,710869.0000,731093.0000,749051.0000,1718187.0000,1724309.0000,1742707.0000,1748915.0000,1770162.0000,1798654.0000,1820932.0000,1834244.0000,755.3000,755.3000,755.3000,755.3000,755.3000,755.3000,755.3000,755.3000
03101,"Braunschweig, Stadt",krsfr. Stadt,162768.0000,164542.0000,165767.0000,165767.0000,166519.0000,169229.0000,166378.0000,165720.0000,126937.0000,129270.2703,131000.0000,134911.7647,135830.7692,136852.4590,138586.2069,139415.0943,86082.0000,90129.0000,91963.0000,94263.0000,95951.0000,97487.0000,98845.0000,100919.0000,243829.0000,244665.0000,246203.0000,247795.0000,249135.0000,248707.0000,247660.0000,247615.0000,192.1700,192.1700,192.1700,192.1700,192.1700,192.1700,192.1700,192.1700
03102,"Salzgitter, Stadt",krsfr. Stadt,62116.0000,61840.0000,61844.0000,61844.0000,62348.0000,63907.0000,65247.0000,65552.0000,50318.0000,50034.0909,50322.5806,50670.2128,51408.6022,51800.0000,52666.6667,53892.4731,33534.0000,34685.0000,34807.0000,35366.0000,36136.0000,36873.0000,37705.0000,38462.0000,98588.0000,98239.0000,97983.0000,98214.0000,99565.0000,102605.0000,104463.0000,104807.0000,223.9200,223.9200,223.9200,223.9200,223.9200,223.9200,223.9200,223.9200
