Kennziffer,Raumeinheit,Aggregat
07311,"Frankenthal (Pfalz), Stadt",krsfr. Stadt
07312,"Kaiserslautern, Stadt",krsfr. Stadt
07313,"Landau in der Pfalz, Stadt",krsfr. Stadt
07314,"Ludwigshafen am Rhein, Stadt",krsfr. Stadt
07315,"Mainz, kreisfreie Stadt",krsfr. Stadt
07316,"Neustadt an der Weinstraße, Stadt",krsfr. Stadt
07317,"Pirmasens, Stadt",krsfr. Stadt
07318,"Speyer, Stadt",krsfr. Stadt
07319,"Worms, Stadt",krsfr. Stadt
07320,"Zweibrücken, Stadt",krsfr. Stadt
07331,Alzey-Worms,Landkreis
07332,Bad Dürkheim,Landkreis
07333,Donnersbergkreis,Landkreis
07334,Germersheim,Landkreis
07335,Kaiserslautern,Landkreis
07336,Kusel,Landkreis
07337,Südliche Weinstraße,Landkreis
07338,Rhein-Pfalz-Kreis,Landkreis
07339,Mainz-Bingen,Landkreis
07340,Südwestpfalz,Landkreis
08111,Stuttgart,krsfr. Stadt
08115,Böblingen,Landkreis
08116,Esslingen,Landkreis
08117,Göppingen,Landkreis
08118,Ludwigsburg,Landkreis
08119,Rems-Murr-Kreis,Landkreis
08121,Heilbronn,krsfr. Stadt
08125,Heilbronn,Landkreis
08126,Hohenlohekreis,Landkreis
08127,Schwäbisch Hall,Landkreis
08128,Main-Tauber-Kreis,Landkreis
08135,Heidenheim,Landkreis
08136,Ostalbkreis,Landkreis
08211,Baden-Baden,krsfr. Stadt
08212,Karlsruhe,krsfr. Stadt
08215,Karlsruhe,Landkreis
08216,Rastatt,Landkreis
08221,Heidelberg,krsfr. Stadt
08222,Mannheim,krsfr. Stadt
08225,Neckar-Odenwald-Kreis,Landkreis
08226,Rhein-Neckar-Kreis,Landkreis
08231,Pforzheim,Landkreis
08235,Calw,Landkreis
08236,Enzkreis,Landkreis
08237,Freudenstadt,Landkreis
08311,Freiburg im Breisgau,krsfr. Stadt
08315,Breisgau-Hochschwarzwald,Landkreis
08316,Emmendingen,Landkreis
08317,Ortenaukreis,Landkreis
08325,Rottweil,Landkreis
08326,Schwarzwald-Baar-Kreis,Landkreis
08327,Tuttlingen,Landkreis
08335,Konstanz,Landkreis
08336,Lörrach,Landkreis
08337,Waldshut,Landkreis
08415,Reutlingen,Landkreis
08416,Tübingen,Landkreis
08417,Zollernalbkreis,Landkreis
08421,Ulm,krsfr. Stadt
08425,Alb-Donau-Kreis,Landkreis
08426,Biberach,Landkreis
08435,Bodenseekreis,Landkreis
08436,Ravensburg,Landkreis
08437,Sigmaringen,Landkreis
09161,"Ingolstadt, Stadt",krsfr. Stadt
09162,"München, Stadt",krsfr. Stadt
09163,"Rosenheim, Stadt",krsfr. Stadt
09171,Altötting,Landkreis
09172,Berchtesgadener Land,Landkreis
09173,Bad Tölz-Wolfratshausen,Landkreis
09174,Dachau,Landkreis
09175,Ebersberg,Landkreis
09176,Eichstätt,Landkreis
09177,Erding,Landkreis
09178,Freising,Landkreis
09179,Fürstenfeldbruck,Landkreis
09180,Garmisch-Partenkirchen,Landkreis
09181,Landsberg am Lech,Landkreis
09182,Miesbach,Landkreis
09183,Mühldorf a.Inn,Landkreis
09184,München,Landkreis
09185,Neuburg-Schrobenhausen,Landkreis
09186,Pfaffenhofen a.d.Ilm,Landkreis
09187,Rosenheim,Landkreis
09188,Starnberg,Landkreis
09189,Traunstein,Landkreis
09190,Weilheim-Schongau,Landkreis
09261,"Landshut, Stadt",krsfr. Stadt
09262,"Passau, Stadt",krsfr. Stadt
09263,"Straubing, Stadt",krsfr. Stadt
09271,Deggendorf,Landkreis
09272,Freyung-Grafenau,Landkreis
09273,Kelheim,Landkreis
09274,Landshut,Landkreis
09275,Passau,Landkreis
09276,Regen,Landkreis
09277,Rottal-Inn,Landkreis
09278,Straubing-Bogen,Landkreis
09279,Dingolfing-Landau,Landkreis
09361,"Amberg, Stadt",krsfr. Stadt
09362,"Regensburg, Stadt",krsfr. Stadt
09363,"Weiden i.d.OPf., Stadt",krsfr. Stadt
09371,Amberg-Sulzbach,Landkreis
09372,Cham,Landkreis
09373,Neumarkt i.d.OPf.,Landkreis
09374,Neustadt a.d.Waldnaab,Landkreis
09375,Regensburg,Landkreis
09376,Schwandorf,Landkreis
09377,Tirschenreuth,Landkreis
09461,"Bamberg, Stadt",krsfr. Stadt
09462,"Bayreuth, Stadt",krsfr. Stadt
09463,"Coburg, Stadt",krsfr. Stadt
09464,"Hof, Stadt",krsfr. Stadt
09471,Bamberg,Landkreis
09472,Bayreuth,Landkreis
09473,Coburg,Landkreis
09474,Forchheim,Landkreis
09475,Hof,Landkreis
09476,Kronach,Landkreis
09477,Kulmbach,Landkreis
09478,Lichtenfels,Landkreis
09479,Wunsiedel i.Fichtelgebirge,Landkreis
09561,"Ansbach, Stadt",krsfr. Stadt
09562,"Erlangen, Stadt",krsfr. Stadt
09563,"Fürth, Stadt",krsfr. Stadt
09564,"Nürnberg, Stadt",krsfr. Stadt
09565,"Schwabach, Stadt",krsfr. Stadt
09571,Ansbach,Landkreis
09572,Erlangen-Höchstadt,Landkreis
09573,Fürth,Landkreis
09574,Nürnberger Land,Landkreis
09575,Neustadt a.d.Aisch-Bad Windsheim,Landkreis
09576,Roth,Landkreis
09577,Weißenburg-Gunzenhausen,Landkreis
09661,"Aschaffenburg, Stadt",krsfr. Stadt
09662,"Schweinfurt, Stadt",krsfr. Stadt
09663,"Würzburg, Stadt",krsfr. Stadt
09671,Aschaffenburg,Landkreis
09672,Bad Kissingen,Landkreis
09673,Rhön-Grabfeld,Landkreis
09674,Haßberge,Landkreis
09675,Kitzingen,Landkreis
09676,Miltenberg,Landkreis
09677,Main-Spessart,Landkreis
09678,Schweinfurt,Landkreis
09679,Würzburg,Landkreis
09761,"Augsburg, Stadt",krsfr. Stadt
09762,"Kaufbeuren, Stadt",krsfr. Stadt
09763,"Kempten (Allgäu), Stadt",krsfr. Stadt
09764,"Memmingen, Stadt",krsfr. Stadt
09771,Aichach-Friedberg,Landkreis
09772,Augsburg,Landkreis
09773,Dillingen a.d.Donau,Landkreis
09774,Günzburg,Landkreis
09775,Neu-Ulm,Landkreis
09776,Lindau (Bodensee),Landkreis
09777,Ostallgäu,Landkreis
09778,Unterallgäu,Landkreis
09779,Donau-Ries,Landkreis
09780,Oberallgäu,Landkreis
10041,Regionalverband Saarbrücken,Landkreis
10042,Merzig-Wadern,Landkreis
10043,Neunkirchen,Landkreis
10044,Saarlouis,Landkreis
10045,Saarpfalz-Kreis,Landkreis
10046,St. Wendel,Landkreis
11000,"Berlin, Stadt",krsfr. Stadt
