Kennziffer,Raumeinheit,Aggregat,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Erreichbarkeit von Krankenhäusern,Nahversorgung Apotheken  Durchschnittsdistanz,"Nahversorgung Hausärzte, inkl. Kinderärzte  Durchschnittsdistanz",Nahversorgung Grundschulen  Durchschnittsdistanz,Nahversorgung Haltestellen des ÖV  Durchschnittsdistanz,Prognose Bevölkerungsentwicklung (2012-2035),Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Entwicklung Wohnflächennachfrage insgesamt (2015-2030)
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2003,2005,2007,2009,2011,2013,2015,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2010,2011,2012,2013,2014,2015,2008,2009,2010,2011,2012,2013,2014,2015,2015,2015,2015,2015,2015,2012-2035,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2015-2030
05370,Heinsberg,Landkreis,1167.0,1220.0,1210.0,1249.0,1279.0,1289.0,1299.0,1315.0,1363.0,1347.0,1395.0,1472.0,1505.0,1525.0,1561.0,1582.0,764.0,761.0,767.0,783.0,782.0,787.0,802.0,803.0,815.0,844.0,87.5,90.6,96.0,99.9,100.8,107.1,104.3,377.9,368.5,359.6,379.5,425.6,402.6,380.2,377.3,382.2,400.9,400.1,464.4,474.3,521.5,494.2,507.2,539.5,570.7,564.1,596.5,614.5,91.7,92.9,94.9,95.8,96.1,100.2,103.4,103.6,105.5,105.7,8.9,8.8,8.8,8.9,9.0,8.3,18.1,18.1,18.0,20.2,21.3,22.7,22.9,22.9,5.2,1385.5,958.6,1118.1,265.9,3.7,55.0,52.0,50.0,48.0,46.0,45.0,44.0,43.0,43.0,42.0,41.0,40.0,39.0,37.0,35.0,33.0,12.3
05374,Oberbergischer Kreis,Landkreis,1374.0,1410.0,1411.0,1458.0,1502.0,1536.0,1575.0,1626.0,1655.0,1598.0,1627.0,1724.0,1756.0,1792.0,1839.0,1865.0,792.0,793.0,799.0,820.0,820.0,826.0,844.0,845.0,859.0,895.0,110.9,113.0,114.9,121.6,129.8,127.4,124.1,491.8,480.7,491.1,529.3,529.6,529.1,488.0,479.1,448.8,482.5,508.5,564.2,634.1,698.0,602.7,556.7,693.8,755.2,747.7,738.0,757.6,92.8,92.4,93.5,95.4,94.0,98.5,104.3,105.9,107.7,105.9,7.5,7.0,7.0,6.9,6.9,6.4,17.6,17.2,17.7,18.3,19.7,21.3,21.6,23.0,7.3,1546.4,1199.9,1278.9,358.9,-2.8,34.0,33.0,31.0,30.0,29.0,29.0,28.0,28.0,27.0,26.0,26.0,24.0,23.0,22.0,20.0,18.0,9.4
05378,Rheinisch-Bergischer Kreis,Landkreis,1621.0,1696.0,1676.0,1712.0,1739.0,1763.0,1787.0,1809.0,1863.0,1814.0,1872.0,1924.0,1956.0,1996.0,2045.0,2072.0,839.0,840.0,850.0,869.0,867.0,872.0,890.0,891.0,906.0,937.0,81.4,81.6,80.0,86.0,90.5,92.3,95.4,556.6,539.9,517.4,553.3,575.1,583.9,543.3,529.2,532.1,524.1,540.2,603.9,649.0,738.4,638.2,623.7,643.2,719.6,748.2,749.1,795.5,98.5,99.2,101.6,102.9,103.0,104.0,103.8,104.0,105.0,105.2,7.7,7.2,7.3,7.5,7.5,7.3,19.1,19.0,19.8,20.5,21.5,22.5,22.4,22.5,7.4,1039.4,776.3,869.7,273.0,-2.5,41.0,40.0,38.0,36.0,35.0,35.0,34.0,33.0,33.0,32.0,31.0,29.0,27.0,26.0,23.0,21.0,8.9
05382,Rhein-Sieg-Kreis,Landkreis,1448.0,1520.0,1490.0,1505.0,1522.0,1527.0,1538.0,1557.0,1611.0,1592.0,1654.0,1765.0,1800.0,1824.0,1862.0,1876.0,775.0,774.0,782.0,803.0,802.0,807.0,825.0,828.0,843.0,876.0,72.4,72.9,71.8,77.7,83.8,84.0,93.6,494.3,469.3,474.2,485.7,508.4,516.2,500.6,473.0,492.2,482.9,482.3,524.9,592.6,636.1,599.7,575.4,630.7,694.3,695.8,725.5,764.9,95.0,94.7,94.1,97.7,99.0,104.1,104.8,106.8,109.3,108.8,7.8,7.6,7.7,7.8,7.9,7.7,13.7,15.6,16.2,18.9,21.2,23.1,23.5,24.1,9.7,1011.3,839.3,933.1,298.9,8.8,56.0,53.0,50.0,48.0,46.0,45.0,44.0,43.0,42.0,41.0,41.0,40.0,39.0,37.0,35.0,33.0,14.7
05512,"Bottrop, Stadt",krsfr. Stadt,1222.0,1271.0,1278.0,1305.0,1331.0,1343.0,1358.0,1374.0,1423.0,1413.0,1460.0,1493.0,1524.0,1563.0,1604.0,1628.0,931.0,927.0,933.0,947.0,943.0,944.0,959.0,955.0,966.0,987.0,81.8,91.6,92.3,107.5,100.4,114.3,119.3,391.6,375.6,372.3,405.9,422.7,429.1,399.8,385.2,385.5,393.1,384.3,424.7,480.3,513.2,478.3,473.7,489.4,535.8,533.7,555.7,608.9,127.4,123.9,128.7,132.8,133.9,132.4,134.5,134.0,138.8,136.6,13.0,12.6,12.5,12.5,12.5,12.2,21.7,20.2,21.5,22.3,24.6,26.0,25.6,26.9,4.5,613.9,524.1,660.4,195.8,-13.2,17.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,9.0,7.0,6.0,0.1
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,1134.0,1165.0,1169.0,1191.0,1209.0,1209.0,1210.0,1218.0,1246.0,1228.0,1253.0,1275.0,1302.0,1299.0,1334.0,1349.0,899.0,895.0,900.0,916.0,910.0,911.0,925.0,920.0,929.0,947.0,98.6,98.5,92.5,96.9,99.7,99.3,98.1,378.7,364.8,373.3,431.1,472.6,442.2,383.2,375.7,369.0,396.3,416.2,520.5,572.8,600.7,498.5,472.8,494.7,381.0,489.5,452.9,529.8,163.2,166.6,170.0,178.1,182.3,182.4,182.1,187.5,192.5,192.0,21.6,21.3,21.5,21.9,22.6,22.9,36.6,36.9,37.8,40.4,43.1,45.6,46.6,50.0,6.2,484.7,433.7,531.8,189.7,-14.8,14.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,-1.4
05515,"Münster, Stadt",krsfr. Stadt,1432.0,1462.0,1472.0,1545.0,1615.0,1652.0,1689.0,1713.0,1788.0,1755.0,1804.0,1768.0,1764.0,1759.0,1806.0,1811.0,724.0,724.0,731.0,747.0,746.0,752.0,767.0,769.0,782.0,817.0,82.0,81.2,88.4,90.1,92.6,84.0,87.9,621.4,655.2,688.7,811.5,798.2,772.2,731.4,652.6,636.2,804.2,759.9,905.7,806.7,910.3,874.5,846.2,883.1,868.1,893.5,902.7,974.0,234.4,235.2,238.0,238.4,241.8,233.3,236.4,238.1,242.1,242.2,8.6,8.0,8.3,8.2,8.3,8.0,29.6,29.4,30.7,31.7,33.2,35.7,37.4,39.2,2.9,520.7,535.7,610.4,206.4,-7.4,42.0,41.0,39.0,38.0,37.0,37.0,37.0,36.0,36.0,35.0,33.0,31.0,29.0,27.0,25.0,22.0,5.2
05554,Borken,Landkreis,1270.0,1327.0,1304.0,1330.0,1359.0,1383.0,1413.0,1441.0,1495.0,1470.0,1522.0,1601.0,1621.0,1682.0,1717.0,1732.0,722.0,721.0,729.0,748.0,747.0,753.0,771.0,773.0,789.0,827.0,65.7,70.1,70.3,71.8,73.1,73.0,78.1,437.3,414.6,425.3,463.1,470.0,488.6,458.3,426.7,427.6,462.9,470.6,512.4,586.1,640.7,575.7,572.9,631.1,699.1,710.0,690.6,745.0,92.8,92.8,94.2,96.1,96.6,97.7,99.0,99.8,102.0,101.4,6.1,5.6,5.4,5.5,5.6,5.2,17.6,16.3,17.9,20.9,21.6,23.6,23.2,24.3,7.9,1109.5,1138.6,1016.9,488.7,-1.6,34.0,33.0,32.0,32.0,31.0,31.0,30.0,30.0,30.0,29.0,28.0,27.0,26.0,24.0,23.0,20.0,9.0
05558,Coesfeld,Landkreis,1307.0,1372.0,1359.0,1389.0,1430.0,1442.0,1457.0,1478.0,1560.0,1550.0,1632.0,1726.0,1751.0,1777.0,1814.0,1835.0,729.0,730.0,737.0,754.0,755.0,761.0,779.0,783.0,800.0,836.0,83.9,88.8,99.6,104.0,100.2,105.6,106.3,440.8,385.7,409.8,430.3,444.3,451.5,437.0,422.1,428.8,431.0,442.7,485.0,526.0,578.8,550.9,548.3,599.6,634.8,649.3,678.2,702.5,87.0,87.8,89.7,91.9,93.8,92.9,93.2,94.2,95.8,95.7,4.8,4.5,4.7,4.9,4.9,4.6,15.6,15.2,15.4,16.9,18.1,19.5,20.1,20.3,10.5,1334.2,1463.9,1082.0,383.6,1.8,32.0,32.0,31.0,30.0,29.0,29.0,29.0,28.0,28.0,27.0,27.0,26.0,25.0,23.0,21.0,19.0,10.4
05562,Recklinghausen,Landkreis,1223.0,1271.0,1281.0,1310.0,1338.0,1342.0,1351.0,1368.0,1410.0,1395.0,1444.0,1504.0,1541.0,1551.0,1594.0,1621.0,929.0,924.0,927.0,940.0,935.0,937.0,951.0,947.0,957.0,978.0,86.1,87.3,95.6,99.9,104.7,112.2,110.9,414.5,392.4,402.7,436.5,436.6,443.1,421.1,405.8,395.1,404.8,405.6,441.8,487.2,518.4,503.8,479.5,531.0,550.3,571.2,594.6,619.4,148.4,150.9,150.3,148.6,151.3,153.2,161.4,162.0,162.1,161.1,14.1,13.9,14.3,14.6,14.7,14.5,24.8,21.4,25.4,27.3,28.7,30.7,31.3,32.5,2.4,721.7,691.5,736.5,208.3,-9.5,16.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,11.0,10.0,9.0,8.0,7.0,1.9
05566,Steinfurt,Landkreis,1246.0,1294.0,1296.0,1333.0,1371.0,1389.0,1412.0,1434.0,1485.0,1466.0,1513.0,1596.0,1622.0,1707.0,1741.0,1754.0,748.0,747.0,753.0,771.0,768.0,773.0,790.0,792.0,806.0,843.0,71.0,73.2,78.0,85.6,86.0,86.3,85.4,405.5,391.0,402.5,424.7,448.9,452.0,429.8,410.6,414.6,432.8,442.8,497.3,531.9,584.3,524.5,510.9,570.9,606.0,630.2,639.5,691.3,109.9,109.6,106.8,109.9,111.1,115.4,115.7,117.6,121.4,120.7,6.5,6.3,6.4,6.6,6.8,6.4,16.6,15.4,15.6,17.7,19.1,21.7,22.4,23.0,11.1,1141.6,1024.2,1069.1,353.0,0.9,35.0,34.0,33.0,32.0,32.0,32.0,31.0,31.0,30.0,30.0,29.0,28.0,27.0,25.0,23.0,21.0,9.8
05570,Warendorf,Landkreis,1315.0,1358.0,1351.0,1389.0,1425.0,1460.0,1518.0,1576.0,1631.0,1593.0,1640.0,1725.0,1747.0,1826.0,1861.0,1874.0,779.0,780.0,788.0,807.0,806.0,812.0,831.0,835.0,849.0,884.0,66.1,66.8,71.7,83.1,87.0,86.1,91.8,486.6,443.9,460.6,496.3,517.3,518.4,488.9,441.9,439.7,465.1,477.9,543.8,614.2,636.8,582.5,564.7,655.4,668.0,696.8,691.0,714.3,100.9,101.7,104.5,108.5,108.9,111.0,116.3,117.7,119.4,117.3,7.6,7.1,7.0,7.2,7.3,7.2,16.8,16.6,17.1,18.4,16.1,21.5,21.9,22.6,8.5,1102.4,1028.5,1087.2,384.7,-3.1,29.0,28.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,24.0,23.0,22.0,21.0,19.0,17.0,8.2
05711,"Bielefeld, Stadt",krsfr. Stadt,1413.0,1466.0,1475.0,1514.0,1553.0,1547.0,1551.0,1545.0,1610.0,1590.0,1656.0,1677.0,1691.0,1717.0,1756.0,1780.0,813.0,812.0,817.0,834.0,832.0,836.0,851.0,848.0,858.0,890.0,92.4,91.2,90.1,94.7,94.8,88.5,88.3,559.4,527.7,549.3,577.3,617.9,603.7,569.5,520.6,513.4,505.8,538.4,628.7,690.9,760.1,612.6,638.5,687.0,691.2,683.0,697.4,733.7,144.3,145.1,146.8,151.1,149.8,151.4,153.5,155.1,156.5,154.8,14.8,13.7,13.4,13.5,13.7,13.6,28.2,27.8,28.9,31.2,32.9,35.5,36.2,39.4,0.9,675.7,612.5,718.2,221.8,-5.6,31.0,31.0,30.0,30.0,30.0,29.0,29.0,28.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,20.0,5.5
05754,Gütersloh,Landkreis,1516.0,1570.0,1551.0,1599.0,1628.0,1665.0,1711.0,1758.0,1800.0,1737.0,1763.0,1833.0,1850.0,1953.0,1994.0,2008.0,785.0,785.0,793.0,811.0,811.0,818.0,835.0,838.0,852.0,891.0,64.6,62.9,64.2,70.3,71.9,71.1,73.6,610.6,580.6,595.0,638.3,655.1,666.8,610.2,582.8,566.8,614.0,610.2,729.4,805.6,893.3,771.0,755.4,839.2,907.6,934.6,1000.8,979.7,135.4,136.4,138.6,121.5,120.8,122.4,125.4,129.0,130.1,129.1,6.4,6.0,6.3,6.4,6.3,6.3,18.1,17.3,18.1,20.5,22.4,23.2,24.3,25.2,10.1,1212.4,1068.2,1023.2,365.0,2.8,35.0,35.0,35.0,34.0,34.0,33.0,33.0,32.0,32.0,31.0,30.0,28.0,27.0,26.0,24.0,22.0,8.0
05758,Herford,Landkreis,1482.0,1508.0,1495.0,1536.0,1563.0,1572.0,1585.0,1597.0,1655.0,1632.0,1689.0,1733.0,1763.0,1756.0,1803.0,1823.0,799.0,800.0,809.0,828.0,826.0,832.0,850.0,852.0,866.0,903.0,76.9,79.8,85.9,96.2,93.2,102.4,100.1,572.3,538.9,545.5,575.5,580.5,607.3,560.8,528.7,513.4,563.5,590.5,616.8,648.5,670.7,624.5,629.7,660.0,703.8,701.9,711.7,740.2,101.3,100.3,102.0,101.8,103.0,102.8,104.8,104.8,105.1,104.1,8.9,8.4,8.2,8.4,8.5,8.2,17.1,17.0,17.7,19.1,20.6,21.3,21.6,22.9,7.6,1028.5,989.2,1028.1,239.1,-5.7,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,22.0,22.0,21.0,20.0,19.0,18.0,17.0,15.0,5.4
05762,Höxter,Landkreis,1208.0,1252.0,1248.0,1289.0,1327.0,1338.0,1358.0,1380.0,1446.0,1430.0,1478.0,1549.0,1577.0,1650.0,1688.0,1711.0,678.0,680.0,689.0,708.0,710.0,719.0,735.0,742.0,757.0,797.0,80.5,84.0,90.0,98.5,102.1,109.9,108.5,403.4,377.8,401.7,428.6,432.3,430.8,402.4,396.2,379.3,400.9,401.4,434.0,478.4,526.0,462.4,482.3,501.0,523.4,546.6,560.6,594.6,107.6,108.9,110.3,113.6,111.7,115.0,116.3,119.6,121.5,120.1,6.5,6.0,5.9,6.0,6.0,5.6,11.3,11.0,11.0,12.5,14.2,15.9,16.4,16.5,11.6,2187.1,1774.3,2253.7,278.5,-11.3,27.0,26.0,25.0,24.0,23.0,22.0,21.0,21.0,20.0,19.0,19.0,18.0,17.0,15.0,14.0,12.0,2.1
05766,Lippe,Landkreis,1376.0,1423.0,1417.0,1460.0,1490.0,1519.0,1551.0,1580.0,1656.0,1639.0,1702.0,1764.0,1789.0,1759.0,1806.0,1818.0,767.0,767.0,775.0,794.0,793.0,798.0,815.0,816.0,829.0,868.0,103.7,103.6,102.7,107.0,110.4,114.7,117.5,488.5,465.2,466.4,509.8,520.1,519.4,506.8,466.5,451.2,488.5,474.6,517.7,586.1,664.9,536.7,548.2,629.0,644.5,663.5,645.6,684.1,116.8,116.6,117.8,118.9,119.1,116.3,123.2,126.1,127.2,125.7,10.6,9.8,10.1,10.0,9.9,9.5,18.3,17.2,18.0,19.6,21.2,23.0,24.0,25.1,11.3,1327.2,1198.6,1270.3,253.0,-7.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,22.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,5.0
05770,Minden-Lübbecke,Landkreis,1397.0,1466.0,1435.0,1457.0,1472.0,1489.0,1514.0,1539.0,1596.0,1574.0,1628.0,1691.0,1719.0,1750.0,1791.0,1809.0,742.0,743.0,752.0,771.0,772.0,777.0,794.0,797.0,812.0,851.0,106.8,110.9,118.6,123.4,122.6,126.3,118.1,501.6,485.2,480.7,501.8,529.1,570.5,516.6,460.8,450.4,504.0,502.0,534.3,607.9,662.6,591.9,587.9,673.9,659.9,687.0,682.4,741.7,119.7,116.2,120.4,122.6,121.8,124.1,127.5,129.4,127.3,125.4,9.6,9.3,9.1,9.1,8.9,8.6,18.2,18.4,19.2,20.4,22.0,23.9,24.3,25.4,8.4,1464.1,1193.7,1465.5,315.1,-5.9,26.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,23.0,23.0,22.0,21.0,20.0,19.0,18.0,16.0,5.5
05774,Paderborn,Landkreis,1226.0,1271.0,1264.0,1294.0,1326.0,1346.0,1367.0,1394.0,1452.0,1440.0,1496.0,1565.0,1588.0,1654.0,1685.0,1696.0,719.0,720.0,729.0,749.0,749.0,754.0,773.0,774.0,789.0,827.0,69.1,71.7,72.9,83.4,83.7,79.5,85.9,462.2,430.4,439.4,489.0,487.3,492.3,464.9,451.5,476.5,472.1,484.2,534.2,553.9,630.0,563.4,555.7,580.6,639.4,674.0,665.2,705.0,129.7,133.3,132.7,137.9,139.0,143.3,145.5,148.8,151.6,153.9,8.8,8.2,8.0,8.2,8.2,7.8,23.9,23.2,23.5,25.1,26.6,29.2,29.4,30.7,10.9,1332.2,1088.6,1100.4,275.7,-1.2,44.0,42.0,40.0,39.0,37.0,36.0,36.0,35.0,34.0,33.0,31.0,30.0,28.0,27.0,25.0,23.0,7.6
05911,"Bochum, Stadt",krsfr. Stadt,1265.0,1321.0,1321.0,1348.0,1364.0,1377.0,1385.0,1399.0,1432.0,1405.0,1438.0,1519.0,1550.0,1547.0,1586.0,1608.0,878.0,874.0,880.0,896.0,891.0,893.0,907.0,905.0,914.0,936.0,89.3,87.8,93.8,94.1,97.9,97.2,97.1,465.7,438.7,446.4,505.2,515.7,534.2,510.6,481.4,472.6,468.6,550.3,549.8,599.2,671.4,550.4,586.9,605.9,622.8,635.4,636.5,700.6,150.6,153.5,155.7,159.9,158.5,163.6,156.4,155.5,158.5,156.4,13.2,13.5,13.7,14.0,14.1,14.3,28.1,27.8,28.9,30.9,32.4,34.1,35.6,37.7,1.6,549.7,508.0,622.1,198.6,-8.5,19.0,17.0,16.0,15.0,14.0,14.0,13.0,13.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,0.8
05913,"Dortmund, Stadt",krsfr. Stadt,1217.0,1253.0,1253.0,1284.0,1311.0,1318.0,1328.0,1343.0,1383.0,1365.0,1398.0,1447.0,1477.0,1482.0,1508.0,1528.0,876.0,871.0,873.0,890.0,883.0,882.0,894.0,890.0,899.0,920.0,77.2,79.2,84.1,90.1,97.6,97.6,99.9,467.7,458.4,453.0,487.9,507.0,495.3,464.3,472.2,427.4,455.9,474.0,585.4,572.3,624.8,551.0,601.8,616.2,623.8,631.3,655.8,687.1,170.9,171.2,171.7,177.9,176.6,180.0,178.9,187.0,188.4,191.7,17.8,17.5,17.5,17.8,18.0,18.1,42.7,43.0,44.7,49.7,52.3,55.3,57.0,58.9,0.6,573.7,566.6,593.9,198.1,-5.6,35.0,33.0,31.0,29.0,28.0,26.0,25.0,24.0,23.0,21.0,19.0,17.0,15.0,13.0,10.0,8.0,4.0
05914,"Hagen, Stadt",krsfr. Stadt,1338.0,1372.0,1382.0,1420.0,1446.0,1456.0,1467.0,1484.0,1520.0,1495.0,1524.0,1565.0,1603.0,1559.0,1592.0,1609.0,824.0,821.0,826.0,844.0,842.0,844.0,858.0,854.0,864.0,894.0,77.5,91.0,96.4,103.7,105.3,112.9,116.0,483.5,485.6,483.8,507.1,575.5,576.0,553.1,510.7,459.5,494.3,539.9,584.0,597.8,633.4,533.4,543.9,636.3,608.1,635.0,610.9,664.5,151.9,154.4,156.0,158.7,159.9,151.6,139.9,137.9,138.2,125.1,16.4,15.5,15.6,16.0,16.5,16.9,31.2,30.7,32.0,32.7,34.8,37.2,39.2,41.1,3.8,638.4,511.0,651.2,166.4,-16.5,19.0,18.0,17.0,16.0,15.0,14.0,14.0,14.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,-1.3
05915,"Hamm, Stadt",krsfr. Stadt,1138.0,1163.0,1164.0,1181.0,1201.0,1214.0,1228.0,1246.0,1284.0,1277.0,1312.0,1378.0,1417.0,1422.0,1454.0,1466.0,847.0,845.0,849.0,864.0,862.0,865.0,881.0,879.0,890.0,916.0,79.7,84.7,93.6,94.9,100.4,105.1,109.7,381.1,354.3,367.8,406.1,435.4,422.0,388.2,378.2,352.9,388.0,390.5,434.3,470.6,520.3,470.6,462.1,506.6,527.1,538.5,555.9,568.7,133.2,134.2,135.5,143.7,145.9,148.8,151.7,155.8,148.4,144.4,15.1,15.2,15.4,15.9,16.2,15.4,20.6,20.5,21.0,23.3,25.3,27.5,29.7,32.1,1.1,716.0,678.9,746.9,218.5,-6.5,32.0,30.0,28.0,27.0,25.0,25.0,24.0,23.0,22.0,21.0,19.0,18.0,16.0,14.0,12.0,11.0,5.4
05916,"Herne, Stadt",krsfr. Stadt,1138.0,1187.0,1191.0,1211.0,1227.0,1224.0,1229.0,1244.0,1277.0,1260.0,1288.0,1393.0,1426.0,1407.0,1434.0,1453.0,907.0,904.0,910.0,927.0,920.0,921.0,935.0,929.0,937.0,958.0,83.6,90.1,95.1,99.7,108.6,116.7,116.1,359.9,363.9,360.5,391.5,399.6,390.4,382.3,371.6,349.5,363.9,374.9,365.1,425.5,451.7,437.5,399.3,480.7,487.3,476.1,500.8,520.1,143.1,144.9,142.9,145.9,144.7,161.7,165.0,167.0,165.9,165.5,16.6,17.5,17.3,17.5,17.5,17.5,22.1,22.8,23.8,26.5,29.2,32.0,32.8,33.6,3.6,669.9,466.6,541.8,188.9,-8.6,15.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,7.0,6.0,5.0,1.0
05954,Ennepe-Ruhr-Kreis,Landkreis,1486.0,1545.0,1558.0,1613.0,1650.0,1677.0,1724.0,1772.0,1819.0,1768.0,1806.0,1891.0,1918.0,1901.0,1952.0,1979.0,858.0,857.0,863.0,883.0,878.0,881.0,896.0,898.0,911.0,939.0,110.8,109.7,107.2,125.2,119.1,121.6,121.6,546.2,501.6,488.8,538.3,578.8,548.9,520.1,532.6,501.7,548.3,558.5,609.9,676.8,781.8,640.9,617.7,708.9,758.8,763.0,764.5,788.4,124.6,123.8,125.4,127.9,128.4,127.0,128.9,130.9,131.5,132.7,10.6,10.3,10.4,10.5,10.5,10.1,19.0,19.1,19.9,21.7,23.2,24.9,25.7,26.2,5.2,814.6,785.2,775.0,218.8,-8.5,21.0,19.0,18.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,14.0,13.0,12.0,11.0,9.0,8.0,1.7
05958,Hochsauerlandkreis,Landkreis,1360.0,1411.0,1414.0,1466.0,1515.0,1534.0,1562.0,1586.0,1659.0,1637.0,1694.0,1760.0,1789.0,1831.0,1884.0,1911.0,741.0,741.0,750.0,768.0,768.0,774.0,793.0,797.0,812.0,847.0,90.6,84.0,92.5,93.0,97.0,99.9,105.7,468.9,444.3,468.5,511.0,526.0,510.8,482.8,463.3,474.0,482.0,501.3,557.2,574.8,655.6,571.4,593.3,618.3,672.9,690.1,714.3,754.2,159.3,159.2,161.7,164.9,166.6,170.1,173.6,175.0,175.9,172.3,7.3,6.7,6.7,6.7,6.5,6.1,16.8,16.8,16.9,18.1,19.4,20.6,21.2,21.6,8.7,2009.7,1728.3,1538.2,280.8,-11.1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,19.0,18.0,17.0,15.0,14.0,3.6
05962,Märkischer Kreis,Landkreis,1486.0,1539.0,1539.0,1602.0,1648.0,1694.0,1751.0,1798.0,1846.0,1794.0,1826.0,1913.0,1941.0,1892.0,1953.0,1983.0,832.0,831.0,837.0,856.0,854.0,858.0,875.0,876.0,889.0,921.0,88.9,93.4,102.1,103.0,110.7,111.5,111.2,556.0,524.0,505.5,562.2,585.4,580.3,540.2,532.4,521.9,544.0,556.7,627.4,699.3,770.9,595.4,615.3,708.6,756.5,760.5,780.0,798.7,134.6,135.1,136.1,140.1,141.4,145.2,140.5,142.5,143.8,145.1,10.0,9.4,9.5,9.8,9.7,9.3,19.8,19.2,20.0,21.5,23.2,25.3,26.2,26.7,7.1,1029.2,878.9,1011.3,218.1,-10.8,16.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,9.0,8.0,7.0,1.2
