Kennziffer,Raumeinheit,Aggregat,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Haushaltseinkommen,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Durchschnittlicher Rentenzahlbetrag,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Pflegeheimplätze,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Steuereinnahmen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,Personal der Kommunen,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,SGB II - Quote,Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Grundsicherung im Alter (Altersarmut),Erreichbarkeit von Krankenhäusern,Nahversorgung Apotheken  Durchschnittsdistanz,"Nahversorgung Hausärzte, inkl. Kinderärzte  Durchschnittsdistanz",Nahversorgung Grundschulen  Durchschnittsdistanz,Nahversorgung Haltestellen des ÖV  Durchschnittsdistanz,Prognose Bevölkerungsentwicklung (2012-2035),Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Neubaubedarf insgesamt,Prognose Entwicklung Wohnflächennachfrage insgesamt (2015-2030)
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2003,2005,2007,2009,2011,2013,2015,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2010,2011,2012,2013,2014,2015,2008,2009,2010,2011,2012,2013,2014,2015,2015,2015,2015,2015,2015,2012-2035,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2015-2030
01057,Plön,Landkreis,1252.0,1310.0,1325.0,1361.0,1390.0,1409.0,1412.0,1429.0,1473.0,1487.0,1527.0,1661.0,1722.0,1761.0,1791.0,1826.0,762.0,759.0,768.0,789.0,788.0,794.0,810.0,813.0,826.0,860.0,75.0,104.1,80.7,109.5,115.0,108.9,103.7,400.8,368.8,380.6,376.2,385.3,379.6,370.1,383.6,360.7,421.1,436.2,444.7,471.2,532.8,474.6,521.1,581.8,627.9,583.5,694.0,746.1,119.2,113.3,82.5,84.3,84.4,89.1,94.4,94.9,97.7,99.4,7.6,7.7,7.3,7.2,7.3,7.0,14.0,13.6,14.3,15.1,16.2,17.5,17.9,17.2,18.4,2238.8,1550.0,1772.4,412.1,4.0,36.0,35.0,33.0,32.0,31.0,31.0,31.0,30.0,30.0,29.0,27.0,26.0,24.0,22.0,21.0,19.0,10.7
01058,Rendsburg-Eckernförde,Landkreis,1309.0,1372.0,1379.0,1414.0,1441.0,1482.0,1501.0,1534.0,1581.0,1591.0,1630.0,1695.0,1760.0,1804.0,1828.0,1869.0,729.0,729.0,737.0,757.0,758.0,764.0,783.0,785.0,799.0,834.0,108.6,106.8,89.4,120.6,121.7,123.7,121.6,432.8,414.4,433.7,439.8,461.4,459.3,425.9,417.5,405.5,422.0,425.1,462.8,501.1,553.1,509.7,513.4,576.6,597.4,610.8,635.4,675.7,93.3,91.8,92.6,93.4,98.6,95.7,98.4,100.6,103.9,105.2,7.7,7.3,7.4,7.4,7.4,6.9,13.4,14.0,14.5,15.7,15.6,17.2,17.2,16.3,16.4,1918.0,1357.5,1690.7,443.6,-0.3,36.0,35.0,33.0,32.0,32.0,32.0,32.0,31.0,31.0,30.0,29.0,27.0,26.0,24.0,22.0,20.0,9.6
01059,Schleswig-Flensburg,Landkreis,1213.0,1260.0,1272.0,1322.0,1363.0,1410.0,1444.0,1489.0,1521.0,1513.0,1530.0,1603.0,1659.0,1719.0,1730.0,1783.0,680.0,681.0,690.0,711.0,710.0,716.0,732.0,737.0,751.0,790.0,123.5,138.4,111.5,149.4,147.8,150.0,148.8,376.4,349.0,354.0,377.7,390.1,378.3,372.8,361.1,351.4,364.2,365.4,405.7,444.4,469.6,461.5,458.2,512.7,527.1,550.3,575.6,621.3,93.8,88.3,87.0,87.3,88.2,89.0,91.4,97.6,100.5,102.4,8.8,9.0,9.2,9.5,9.4,8.8,13.8,14.1,14.1,16.6,18.0,19.9,19.6,19.7,17.6,2410.3,1830.8,1902.8,443.4,0.1,33.0,32.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,29.0,28.0,27.0,25.0,23.0,21.0,9.8
01060,Segeberg,Landkreis,1427.0,1474.0,1469.0,1491.0,1505.0,1545.0,1556.0,1606.0,1633.0,1651.0,1670.0,1714.0,1768.0,1808.0,1838.0,1882.0,814.0,815.0,821.0,843.0,843.0,850.0,870.0,872.0,889.0,925.0,147.6,147.5,129.7,157.9,160.3,166.4,152.7,611.3,556.1,548.9,540.0,548.8,573.3,538.4,511.6,510.9,523.7,539.6,604.5,652.0,695.1,610.2,642.1,703.8,717.5,754.0,757.3,787.8,105.6,103.8,103.4,105.6,105.9,107.2,110.9,115.9,118.9,121.1,7.3,7.0,6.9,7.0,6.9,6.7,17.2,16.9,17.2,18.4,20.2,20.5,20.9,21.8,14.6,1705.7,1144.3,1308.7,325.0,6.7,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,37.0,38.0,39.0,40.0,40.0,39.0,13.2
01061,Steinburg,Landkreis,1237.0,1282.0,1292.0,1331.0,1361.0,1398.0,1417.0,1456.0,1497.0,1497.0,1533.0,1606.0,1665.0,1688.0,1709.0,1743.0,742.0,740.0,748.0,768.0,767.0,774.0,792.0,795.0,809.0,846.0,120.4,137.2,109.4,139.5,141.9,146.8,137.2,502.5,477.2,475.1,494.0,507.9,589.2,486.6,507.8,448.1,477.0,459.6,589.8,652.7,624.4,708.9,563.1,633.6,606.1,694.9,664.4,768.6,96.8,94.1,92.5,93.2,92.6,94.4,96.3,99.3,99.8,100.0,9.3,8.9,8.9,8.9,9.2,8.8,15.9,15.3,15.9,18.0,19.9,20.7,19.6,21.5,17.0,1819.4,1452.0,1596.0,642.4,-3.6,19.0,19.0,19.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,21.0,20.0,19.0,17.0,6.7
01062,Stormarn,Landkreis,1614.0,1674.0,1695.0,1750.0,1774.0,1817.0,1819.0,1837.0,1858.0,1868.0,1884.0,1935.0,1989.0,1975.0,2010.0,2057.0,848.0,849.0,857.0,879.0,880.0,886.0,906.0,908.0,922.0,957.0,127.1,133.0,115.4,148.2,153.6,165.0,161.1,653.4,576.8,592.5,676.1,652.8,716.7,613.3,589.6,596.5,637.3,658.1,726.7,759.1,868.1,788.6,756.7,876.8,900.6,898.2,929.2,955.9,89.1,89.0,88.9,88.7,89.2,91.2,92.4,94.5,94.8,97.0,5.7,5.5,5.3,5.4,5.4,5.2,12.9,12.5,13.0,13.2,14.6,16.1,16.4,17.1,12.8,1606.8,975.4,1273.9,283.3,3.6,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,43.0,44.0,46.0,46.0,46.0,46.0,12.2
02000,"Hamburg, Stadt",krsfr. Stadt,1488.0,1579.0,1555.0,1591.0,1666.0,1715.0,1794.0,1771.0,1757.0,1759.0,1755.0,1884.0,1905.0,1921.0,1948.0,1974.0,849.0,847.0,852.0,871.0,867.0,869.0,884.0,882.0,892.0,922.0,86.5,86.1,89.1,95.3,103.3,105.1,96.9,714.3,720.1,730.8,824.9,908.1,890.2,828.2,832.0,790.8,822.7,906.0,1014.8,974.7,1135.2,1011.2,998.9,1110.3,1101.0,1190.2,1221.6,1227.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.2,13.1,12.8,12.6,12.5,12.3,48.0,48.5,50.9,55.9,59.1,62.8,65.0,67.9,4.1,516.4,385.4,586.6,231.8,3.0,54.0,50.0,46.0,44.0,42.0,41.0,40.0,39.0,38.0,36.0,33.0,30.0,26.0,22.0,17.0,14.0,10.0
03101,"Braunschweig, Stadt",krsfr. Stadt,1330.0,1372.0,1388.0,1421.0,1433.0,1464.0,1483.0,1496.0,1513.0,1509.0,1528.0,1611.0,1657.0,1685.0,1708.0,1748.0,814.0,814.0,818.0,835.0,833.0,836.0,852.0,851.0,861.0,893.0,108.4,107.7,118.6,126.6,125.7,128.2,125.2,539.1,519.3,510.7,572.8,586.1,599.3,524.7,541.5,444.9,508.5,510.2,579.2,622.6,736.5,599.8,632.8,765.3,854.2,815.8,826.0,832.7,124.9,129.0,126.3,129.5,127.6,129.9,130.3,130.8,130.4,128.3,12.3,11.6,11.0,10.6,10.1,9.4,28.5,25.7,27.6,29.2,31.1,32.5,33.8,35.5,3.0,520.5,428.5,622.7,238.6,-5.2,34.0,32.0,31.0,30.0,30.0,29.0,29.0,29.0,28.0,28.0,27.0,26.0,24.0,23.0,21.0,20.0,4.8
03102,"Salzgitter, Stadt",krsfr. Stadt,1228.0,1267.0,1269.0,1288.0,1298.0,1320.0,1334.0,1357.0,1385.0,1397.0,1433.0,1514.0,1561.0,1580.0,1599.0,1618.0,852.0,848.0,853.0,870.0,867.0,869.0,885.0,883.0,898.0,929.0,106.1,107.1,117.5,109.8,124.6,140.9,136.4,462.3,420.6,425.1,709.0,576.2,494.3,454.6,445.0,408.4,432.7,526.4,728.9,973.8,982.5,554.8,557.5,751.2,870.5,668.2,889.3,748.0,130.2,135.8,140.0,141.0,143.0,147.8,150.2,153.1,152.6,148.9,14.3,13.4,13.4,13.6,13.6,13.6,25.6,25.4,26.6,28.3,29.7,31.3,31.9,31.5,2.1,862.4,723.2,867.7,227.5,-14.5,20.0,20.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,13.0,12.0,11.0,0.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,1367.0,1417.0,1447.0,1482.0,1517.0,1538.0,1542.0,1550.0,1570.0,1597.0,1645.0,1739.0,1821.0,1883.0,1914.0,1964.0,896.0,894.0,900.0,922.0,919.0,923.0,939.0,938.0,953.0,984.0,67.0,70.8,70.2,90.5,102.7,102.6,99.6,639.1,618.5,820.3,882.5,1284.5,978.4,889.0,883.7,620.3,651.7,731.9,696.9,428.1,1026.9,1131.2,1307.8,1570.6,2397.4,1532.8,1884.8,1066.2,252.0,256.5,260.5,269.4,255.2,263.7,269.1,282.9,295.5,294.7,9.1,8.1,7.8,7.7,7.7,7.5,13.4,11.9,12.8,13.8,15.3,15.8,17.2,19.6,6.8,757.5,713.5,808.0,217.7,-7.9,29.0,28.0,27.0,26.0,25.0,25.0,25.0,25.0,24.0,23.0,22.0,21.0,19.0,18.0,16.0,14.0,3.5
