Kennziffer,Raumeinheit,Aggregat,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Fläche
03101,"Braunschweig, Stadt",krsfr. Stadt,162768.0000,164542.0000,165767.0000,166519.0000,169229.0000,166378.0000,165720.0000,243829.0000,245798.0000,247227.0000,248502.0000,251364.0000,248667.0000,248023.0000,126937.0000,128740.0000,131000.0000,134084.0000,136197.0000,86082.0000,89629.0000,91963.0000,94263.0000,95951.0000,192.1700
03102,"Salzgitter, Stadt",krsfr. Stadt,62116.0000,61840.0000,61844.0000,62348.0000,63907.0000,65247.0000,65552.0000,98588.0000,98095.0000,98197.0000,98966.0000,101079.0000,103668.0000,104548.0000,50318.0000,50127.0000,50323.0000,50830.0000,51339.0000,33534.0000,34277.0000,34808.0000,35366.0000,36136.0000,223.9200
03103,"Wolfsburg, Stadt",krsfr. Stadt,78092.0000,78838.0000,79379.0000,79615.0000,80214.0000,79669.0000,79348.0000,120889.0000,121758.0000,122457.0000,123027.0000,124045.0000,123909.0000,123914.0000,62575.0000,63550.0000,64347.0000,65774.0000,66322.0000,45776.0000,47466.0000,48570.0000,49274.0000,50110.0000,204.0800
03151,Gifhorn,Landkreis,113869.0000,114152.0000,114377.0000,114782.0000,115768.0000,115334.0000,114963.0000,170865.0000,171015.0000,171475.0000,172541.0000,174205.0000,174749.0000,175079.0000,89761.0000,90163.0000,90346.0000,92478.0000,93850.0000,63249.0000,64856.0000,66630.0000,68443.0000,69595.0000,1562.8500
03152,Göttingen,Landkreis,166991.0000,167262.0000,167400.0000,168304.0000,172265.0000,169838.5314,169857.5563,248025.0000,247988.0000,248249.0000,250220.0000,255653.0000,253734.4660,254487.7602,126331.0000,127143.0000,128309.0000,128941.0000,129752.0000,82971.0000,84766.0000,86019.0000,87670.0000,89303.0000,1117.2400
03153,Goslar,Landkreis,86882.0000,86414.0000,86012.0000,85527.0000,86084.0000,85626.0000,85190.0000,139575.0000,138655.0000,137833.0000,137256.0000,138236.0000,137979.0000,137563.0000,67369.0000,67402.0000,68125.0000,67833.0000,67959.0000,43066.0000,43826.0000,44239.0000,44837.0000,45769.0000,965.3000
03154,Helmstedt,Landkreis,58711.0000,58545.0000,58586.0000,58835.0000,59158.0000,59227.0000,58643.0000,90919.0000,90391.0000,90423.0000,90908.0000,91500.0000,92079.0000,91720.0000,46882.0000,46821.0000,47093.0000,47888.0000,48257.0000,31680.0000,32588.0000,33564.0000,34125.0000,35124.0000,674.0100
03155,Northeim,Landkreis,86605.0000,86171.0000,85623.0000,84872.0000,85317.0000,84016.0000,83192.0000,136516.0000,135418.0000,134661.0000,133905.0000,134896.0000,133610.0000,133046.0000,69861.0000,69850.0000,69562.0000,70042.0000,70291.0000,46631.0000,47062.0000,47985.0000,48518.0000,48900.0000,1267.0600
03156,Osterode am Harz,Landkreis,46758.0000,46125.0000,45587.0000,45049.0000,45048.0000,44413.4686,44418.4437,76172.0000,75245.0000,74367.0000,73793.0000,73885.0000,73330.5340,73548.2398,38166.0000,37992.0000,37872.0000,37042.0000,36760.0000,24003.0000,24225.0000,24830.0000,25102.0000,25507.0000,636.0300
03157,Peine,Landkreis,84044.0000,84100.0000,84348.0000,84585.0000,85720.0000,85826.0000,85845.0000,130165.0000,130047.0000,130147.0000,130601.0000,132320.0000,132979.0000,133368.0000,67899.0000,68195.0000,69217.0000,68955.0000,69609.0000,45978.0000,46906.0000,48040.0000,48920.0000,50038.0000,534.9200
03158,Wolfenbüttel,Landkreis,77394.0000,77220.0000,77254.0000,77280.0000,77875.0000,77596.0000,76984.0000,120425.0000,120117.0000,119900.0000,120035.0000,120981.0000,120904.0000,120437.0000,61111.0000,60893.0000,61145.0000,61446.0000,61813.0000,40353.0000,41136.0000,42156.0000,42869.0000,43615.0000,722.5400
03241,Region Hannover,Landkreis,724859.0000,730592.0000,735544.0000,740236.0000,752204.0000,752000.0000,752364.0000,1106219.0000,1112675.0000,1119526.0000,1128037.0000,1144481.0000,1148700.0000,1152675.0000,575392.0000,580868.0000,588280.0000,597739.0000,605422.0000,383251.0000,394562.0000,401736.0000,410085.0000,419299.0000,2290.8100
03251,Diepholz,Landkreis,136054.0000,136113.0000,136474.0000,136887.0000,138829.0000,138811.0000,138947.0000,209745.0000,209671.0000,209955.0000,211093.0000,213976.0000,215082.0000,216012.0000,111357.0000,112927.0000,113913.0000,115050.0000,116714.0000,75625.0000,76959.0000,79148.0000,80715.0000,83123.0000,1988.0600
03252,Hameln-Pyrmont,Landkreis,94078.0000,93623.0000,93015.0000,92777.0000,92852.0000,92190.0000,91784.0000,149513.0000,148532.0000,147755.0000,147813.0000,148281.0000,148265.0000,148296.0000,75646.0000,75546.0000,75683.0000,76159.0000,76546.0000,49983.0000,50746.0000,51616.0000,52418.0000,53207.0000,796.1400
03254,Hildesheim,Landkreis,178228.0000,178022.0000,177539.0000,177141.0000,178685.0000,178378.0000,177538.0000,276383.0000,275330.0000,274519.0000,274554.0000,277055.0000,277300.0000,276640.0000,141455.0000,141365.0000,143684.0000,143973.0000,144855.0000,92108.0000,94312.0000,96299.0000,97527.0000,99106.0000,1205.9900
03255,Holzminden,Landkreis,45665.0000,45470.0000,45189.0000,44739.0000,44958.0000,44522.0000,44059.0000,73155.0000,72459.0000,71877.0000,71438.0000,71659.0000,71510.0000,71144.0000,35855.0000,35812.0000,35783.0000,35724.0000,35681.0000,23395.0000,23584.0000,23801.0000,24137.0000,24367.0000,692.5700
03256,Nienburg (Weser),Landkreis,78942.0000,78313.0000,78036.0000,77789.0000,78442.0000,78399.0000,78130.0000,121390.0000,120225.0000,119848.0000,119631.0000,120632.0000,121503.0000,121470.0000,62471.0000,63107.0000,63726.0000,64597.0000,65453.0000,42018.0000,42736.0000,43817.0000,44628.0000,45429.0000,1398.9400
03257,Schaumburg,Landkreis,99744.0000,99289.0000,98994.0000,98957.0000,99040.0000,99491.0000,99430.0000,157026.0000,156039.0000,155599.0000,155847.0000,156206.0000,157616.0000,157883.0000,79104.0000,78961.0000,79841.0000,79468.0000,79651.0000,51334.0000,52378.0000,53450.0000,54286.0000,55394.0000,675.5700
