Kennziffer,Raumeinheit,Aggregat,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Fläche
05111,"Düsseldorf, Stadt",krsfr. Stadt,396575.0000,399593.0000,403322.0000,406689.0000,411771.0000,411199.0000,413749.0000,589649.0000,593682.0000,598686.0000,604527.0000,612178.0000,613230.0000,617280.0000,302733.0000,307033.0000,314943.0000,318421.0000,320211.0000,205566.0000,210327.0000,214332.0000,217695.0000,223398.0000,217.4100
05112,"Duisburg, Stadt",krsfr. Stadt,319475.0000,320074.0000,319515.0000,318940.0000,323243.0000,328617.0000,326528.0000,487470.0000,486816.0000,486855.0000,485465.0000,491231.0000,499845.0000,498110.0000,242363.0000,243681.0000,244612.0000,246010.0000,247195.0000,150470.0000,152312.0000,154590.0000,155828.0000,158391.0000,232.8000
05113,"Essen, Stadt",krsfr. Stadt,370410.0000,371949.0000,374553.0000,376656.0000,382601.0000,381250.0000,379759.0000,565900.0000,566862.0000,569884.0000,573784.0000,582624.0000,583084.0000,583393.0000,283555.0000,285002.0000,289484.0000,290337.0000,290306.0000,176485.0000,179103.0000,183003.0000,185035.0000,188448.0000,210.3400
05114,"Krefeld, Stadt",krsfr. Stadt,143924.0000,144434.0000,144490.0000,144382.0000,146178.0000,146842.0000,146359.0000,221864.0000,222026.0000,222058.0000,222500.0000,225144.0000,226812.0000,226699.0000,113384.0000,113467.0000,114286.0000,115255.0000,116468.0000,71484.0000,72359.0000,73932.0000,75323.0000,76711.0000,137.7800
05116,"Mönchengladbach, Stadt",krsfr. Stadt,168337.0000,168992.0000,169455.0000,170044.0000,172114.0000,172141.0000,172313.0000,254834.0000,255087.0000,255430.0000,256853.0000,259996.0000,260925.0000,262188.0000,129594.0000,130449.0000,132044.0000,132794.0000,133772.0000,81563.0000,82406.0000,84529.0000,85849.0000,88243.0000,170.4700
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,106351.0000,106333.0000,106175.0000,106337.0000,107769.0000,108402.0000,108097.0000,166804.0000,166654.0000,166640.0000,167108.0000,169278.0000,170936.0000,171265.0000,82502.0000,83337.0000,83368.0000,83211.0000,82997.0000,53218.0000,54013.0000,55077.0000,55486.0000,56019.0000,91.2800
05119,"Oberhausen, Stadt",krsfr. Stadt,139276.0000,139354.0000,138501.0000,138272.0000,139075.0000,138613.0000,138029.0000,210256.0000,210005.0000,209097.0000,209292.0000,210934.0000,211382.0000,211422.0000,106801.0000,106797.0000,107268.0000,108556.0000,109255.0000,66775.0000,67379.0000,68773.0000,69552.0000,70565.0000,77.1000
05120,"Remscheid, Stadt",krsfr. Stadt,71246.0000,70856.0000,70469.0000,70214.0000,70645.0000,71165.0000,70797.0000,110132.0000,109352.0000,108955.0000,109009.0000,109499.0000,110611.0000,110584.0000,58388.0000,58223.0000,58280.0000,58454.0000,58380.0000,37913.0000,38232.0000,38523.0000,38999.0000,39274.0000,74.5200
05122,"Solingen, Stadt",krsfr. Stadt,99877.0000,100474.0000,100993.0000,101698.0000,103017.0000,103103.0000,103006.0000,155080.0000,155316.0000,155768.0000,156771.0000,158726.0000,158908.0000,158803.0000,80896.0000,81367.0000,82200.0000,82662.0000,83864.0000,53871.0000,54753.0000,55981.0000,56912.0000,58158.0000,89.5400
05124,"Wuppertal, Stadt",krsfr. Stadt,223433.0000,224020.0000,224591.0000,225590.0000,228717.0000,229538.0000,229836.0000,342570.0000,342885.0000,343488.0000,345425.0000,350046.0000,352390.0000,353590.0000,174041.0000,174568.0000,177496.0000,177236.0000,176463.0000,110185.0000,111126.0000,112605.0000,115057.0000,118021.0000,168.3900
05154,Kleve,Landkreis,200210.0000,201177.0000,201670.0000,203020.0000,206782.0000,205839.0000,205662.0000,301171.0000,301977.0000,302698.0000,304963.0000,310337.0000,310329.0000,311270.0000,153515.0000,153656.0000,156477.0000,157581.0000,159162.0000,94890.0000,96733.0000,100288.0000,102305.0000,105971.0000,1233.0000
05158,Mettmann,Landkreis,303757.0000,303302.0000,302292.0000,301777.0000,305025.0000,304717.0000,304037.0000,477919.0000,477397.0000,476633.0000,477760.0000,483279.0000,484770.0000,485409.0000,250563.0000,251003.0000,253845.0000,254676.0000,255579.0000,167917.0000,169969.0000,171907.0000,174144.0000,176803.0000,407.2100
05162,Rhein-Kreis Neuss,Landkreis,284502.0000,285490.0000,286160.0000,286409.0000,291180.0000,287676.0000,287812.0000,437732.0000,439225.0000,440602.0000,442522.0000,450026.0000,447431.0000,449408.0000,225021.0000,226448.0000,228469.0000,231408.0000,233279.0000,152483.0000,155207.0000,158512.0000,160649.0000,163785.0000,576.5200
05166,Viersen,Landkreis,194800.0000,194864.0000,194707.0000,194066.0000,195434.0000,195029.0000,194469.0000,295982.0000,295448.0000,294921.0000,295067.0000,297661.0000,298422.0000,298733.0000,154408.0000,155095.0000,155014.0000,157582.0000,159250.0000,99079.0000,99900.0000,102625.0000,104571.0000,106217.0000,563.2700
05170,Wesel,Landkreis,302390.0000,301508.0000,300272.0000,299076.0000,301980.0000,298929.0000,296006.0000,459740.0000,458329.0000,457033.0000,457244.0000,462664.0000,461715.0000,460666.0000,235068.0000,235390.0000,237595.0000,238267.0000,240146.0000,150991.0000,152930.0000,156395.0000,157876.0000,159662.0000,1042.8200
05314,"Bonn, Stadt",krsfr. Stadt,207455.0000,209410.0000,210523.0000,211975.0000,215360.0000,217309.0000,219762.0000,307530.0000,309869.0000,311287.0000,313958.0000,318809.0000,322125.0000,325490.0000,154601.0000,156439.0000,160113.0000,162060.0000,163412.0000,101284.0000,103565.0000,104896.0000,106404.0000,107705.0000,141.0600
05315,"Köln, Stadt",krsfr. Stadt,700039.0000,708495.0000,715751.0000,724417.0000,733460.0000,743349.0000,745413.0000,1013665.0000,1024373.0000,1034175.0000,1046680.0000,1060582.0000,1075935.0000,1080394.0000,518912.0000,529107.0000,542958.0000,551610.0000,560730.0000,346890.0000,355681.0000,364995.0000,373960.0000,382432.0000,405.0200
05316,"Leverkusen, Stadt",krsfr. Stadt,102492.0000,103088.0000,103752.0000,104105.0000,105360.0000,104875.0000,104960.0000,159373.0000,159926.0000,160819.0000,161540.0000,163487.0000,163113.0000,163577.0000,80972.0000,81358.0000,82651.0000,83311.0000,84186.0000,55328.0000,56096.0000,57190.0000,58007.0000,58809.0000,78.8700
05334,Städteregion Aachen,Landkreis,364549.0000,366264.0000,368266.0000,369914.0000,374340.0000,371716.0000,371989.0000,541521.0000,542833.0000,545067.0000,547661.0000,553922.0000,552472.0000,554068.0000,276106.0000,279634.0000,284875.0000,286768.0000,289919.0000,171816.0000,174991.0000,178553.0000,181843.0000,185885.0000,706.9600
05358,Düren,Landkreis,171054.0000,171466.0000,171335.0000,171331.0000,173813.0000,172189.0000,171854.0000,258524.0000,258651.0000,258385.0000,259073.0000,262828.0000,262072.0000,262889.0000,133197.0000,134390.0000,134913.0000,135420.0000,136708.0000,85176.0000,86664.0000,89024.0000,90312.0000,92080.0000,941.3700
05362,Rhein-Erft-Kreis,Landkreis,297301.0000,298804.0000,299892.0000,300564.0000,304891.0000,302061.0000,302130.0000,452792.0000,454792.0000,456602.0000,459448.0000,466657.0000,465549.0000,467209.0000,233070.0000,235254.0000,239000.0000,241359.0000,243853.0000,155962.0000,159072.0000,162374.0000,165104.0000,168949.0000,704.6200
05366,Euskirchen,Landkreis,123925.0000,124258.0000,124072.0000,124151.0000,125879.0000,125132.0000,125047.0000,187801.0000,187724.0000,187437.0000,188158.0000,191165.0000,191202.0000,192127.0000,96024.0000,98079.0000,99871.0000,101550.0000,102864.0000,62349.0000,63471.0000,65262.0000,66421.0000,67632.0000,1248.7300
05370,Heinsberg,Landkreis,164960.0000,165102.0000,165479.0000,165870.0000,167880.0000,167125.0000,166474.0000,248161.0000,247827.0000,248233.0000,249310.0000,252527.0000,252651.0000,253106.0000,126112.0000,126798.0000,127608.0000,129722.0000,131017.0000,77902.0000,79092.0000,82339.0000,83847.0000,85831.0000,627.9900
05374,Oberbergischer Kreis,Landkreis,176779.0000,176670.0000,176368.0000,176534.0000,178364.0000,177274.0000,176501.0000,272287.0000,271332.0000,270290.0000,270618.0000,273452.0000,273139.0000,272968.0000,142455.0000,142975.0000,143443.0000,145009.0000,146225.0000,95789.0000,97294.0000,99245.0000,100845.0000,102610.0000,918.8400
05378,Rheinisch-Bergischer Kreis,Landkreis,176879.0000,177137.0000,177626.0000,178051.0000,179961.0000,179533.0000,179184.0000,277816.0000,277997.0000,278440.0000,279497.0000,282729.0000,283304.0000,283344.0000,139856.0000,140669.0000,141615.0000,143820.0000,145467.0000,92959.0000,94449.0000,96799.0000,98559.0000,100162.0000,437.3100
05382,Rhein-Sieg-Kreis,Landkreis,378530.0000,379532.0000,380467.0000,381622.0000,388175.0000,387097.0000,386401.0000,579594.0000,580588.0000,582280.0000,585781.0000,596213.0000,597854.0000,599056.0000,296209.0000,297651.0000,299767.0000,305037.0000,308564.0000,195417.0000,198675.0000,203284.0000,207040.0000,211911.0000,1153.2100
05512,"Bottrop, Stadt",krsfr. Stadt,77452.0000,77240.0000,76926.0000,76639.0000,77273.0000,77073.0000,76633.0000,117074.0000,116498.0000,116055.0000,116017.0000,117143.0000,117409.0000,117364.0000,58645.0000,58816.0000,59292.0000,59523.0000,59867.0000,37119.0000,37352.0000,38294.0000,39038.0000,39542.0000,100.6100
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,169654.0000,169831.0000,170101.0000,169621.0000,171297.0000,172066.0000,169355.0000,257994.0000,257607.0000,257850.0000,257651.0000,260368.0000,262528.0000,260305.0000,123875.0000,123969.0000,124625.0000,124495.0000,125251.0000,73607.0000,74320.0000,75510.0000,75952.0000,77143.0000,104.9400
05515,"Münster, Stadt",krsfr. Stadt,206662.0000,209491.0000,212123.0000,213682.0000,219682.0000,220398.0000,221151.0000,293393.0000,296599.0000,299708.0000,302178.0000,310039.0000,311846.0000,313559.0000,145482.0000,150249.0000,154283.0000,157761.0000,160075.0000,97820.0000,100423.0000,103244.0000,105303.0000,107576.0000,303.2800
05554,Borken,Landkreis,242485.0000,243130.0000,243807.0000,244146.0000,247213.0000,245931.0000,245373.0000,364093.0000,363819.0000,364271.0000,365191.0000,369666.0000,369226.0000,369718.0000,197027.0000,198494.0000,202907.0000,203339.0000,205440.0000,126833.0000,129585.0000,134101.0000,136618.0000,139844.0000,1420.9600
05558,Coesfeld,Landkreis,142983.0000,143324.0000,143705.0000,143747.0000,145022.0000,144563.0000,144093.0000,215031.0000,215087.0000,215282.0000,215996.0000,218401.0000,219019.0000,219360.0000,113659.0000,114595.0000,116029.0000,117055.0000,118308.0000,76599.0000,78194.0000,80853.0000,82414.0000,84239.0000,1112.0300
05562,Recklinghausen,Landkreis,405818.0000,404661.0000,402947.0000,400985.0000,403420.0000,400519.0000,397856.0000,617831.0000,615778.0000,613878.0000,613092.0000,617807.0000,617195.0000,616824.0000,313897.0000,313921.0000,316739.0000,316689.0000,316973.0000,194061.0000,195925.0000,200130.0000,201980.0000,206843.0000,760.4600
05566,Steinfurt,Landkreis,285011.0000,286406.0000,287215.0000,288791.0000,293369.0000,293140.0000,293597.0000,433820.0000,434170.0000,434481.0000,437127.0000,443374.0000,444409.0000,446565.0000,232684.0000,235286.0000,236918.0000,239553.0000,242350.0000,154987.0000,157604.0000,162183.0000,165797.0000,169994.0000,1795.7700
05570,Warendorf,Landkreis,177797.0000,178026.0000,178220.0000,178474.0000,181154.0000,180611.0000,179719.0000,272985.0000,272832.0000,272623.0000,273412.0000,277431.0000,277744.0000,277458.0000,145561.0000,146261.0000,149508.0000,149494.0000,150398.0000,97837.0000,99301.0000,101861.0000,103243.0000,105740.0000,1319.4200
05711,"Bielefeld, Stadt",krsfr. Stadt,215512.0000,217130.0000,218157.0000,218540.0000,220836.0000,220584.0000,219191.0000,327199.0000,328314.0000,328864.0000,329782.0000,333090.0000,333451.0000,332552.0000,161572.0000,162601.0000,163505.0000,166437.0000,168956.0000,106350.0000,108115.0000,112188.0000,113808.0000,116295.0000,258.8200
05754,Gütersloh,Landkreis,231271.0000,232706.0000,233450.0000,234804.0000,239333.0000,239432.0000,239668.0000,350814.0000,351624.0000,352334.0000,354463.0000,360642.0000,361828.0000,363049.0000,186669.0000,188930.0000,190241.0000,194091.0000,196437.0000,131734.0000,133503.0000,136965.0000,139407.0000,145318.0000,969.2100
05758,Herford,Landkreis,161015.0000,161052.0000,161018.0000,160967.0000,163135.0000,161658.0000,161525.0000,249947.0000,249147.0000,248988.0000,249219.0000,252122.0000,251074.0000,251539.0000,130105.0000,129699.0000,131984.0000,131981.0000,132832.0000,89352.0000,90356.0000,92154.0000,93150.0000,95030.0000,450.4100
05762,Höxter,Landkreis,93664.0000,93317.0000,92896.0000,92911.0000,93594.0000,91591.0000,90968.0000,144891.0000,143709.0000,142788.0000,142770.0000,144010.0000,141855.0000,141565.0000,72777.0000,72995.0000,73037.0000,73915.0000,74282.0000,48674.0000,49079.0000,50893.0000,51331.0000,51946.0000,1201.4200
05766,Lippe,Landkreis,221635.0000,221268.0000,220548.0000,219842.0000,223543.0000,221108.0000,220443.0000,347729.0000,346496.0000,345374.0000,345127.0000,350750.0000,348933.0000,349069.0000,175968.0000,177029.0000,178247.0000,178950.0000,179411.0000,118507.0000,119659.0000,122877.0000,124281.0000,126263.0000,1246.1900
05770,Minden-Lübbecke,Landkreis,199416.0000,199575.0000,199626.0000,199257.0000,201966.0000,200064.0000,198950.0000,310932.0000,309990.0000,309356.0000,309216.0000,313050.0000,311866.0000,311207.0000,159769.0000,160580.0000,161810.0000,161213.0000,162157.0000,109566.0000,111186.0000,114732.0000,115949.0000,117951.0000,1152.4100
05774,Paderborn,Landkreis,200900.0000,201891.0000,202394.0000,203980.0000,207384.0000,207058.0000,206200.0000,295614.0000,296135.0000,296688.0000,299071.0000,304332.0000,305198.0000,305362.0000,156728.0000,158565.0000,160111.0000,162482.0000,164263.0000,104903.0000,107256.0000,109789.0000,111533.0000,113810.0000,1246.7900
05911,"Bochum, Stadt",krsfr. Stadt,241346.0000,241600.0000,241133.0000,240466.0000,242506.0000,241743.0000,241282.0000,362585.0000,362213.0000,361734.0000,361876.0000,364742.0000,364920.0000,365529.0000,181740.0000,182977.0000,183769.0000,186091.0000,187202.0000,115802.0000,117548.0000,118744.0000,119951.0000,121451.0000,145.6600
05913,"Dortmund, Stadt",krsfr. Stadt,380048.0000,381535.0000,384708.0000,386643.0000,390532.0000,388996.0000,388302.0000,571403.0000,572087.0000,575944.0000,580511.0000,586181.0000,585813.0000,586600.0000,284777.0000,287140.0000,291750.0000,296240.0000,299839.0000,177436.0000,181055.0000,185471.0000,189010.0000,193745.0000,280.7100
05914,"Hagen, Stadt",krsfr. Stadt,120626.0000,120125.0000,120100.0000,120207.0000,121197.0000,120168.0000,119376.0000,187333.0000,186243.0000,185996.0000,186716.0000,189044.0000,188266.0000,187730.0000,95348.0000,95287.0000,95792.0000,96467.0000,96728.0000,60716.0000,61485.0000,62747.0000,63129.0000,64271.0000,160.4500
05915,"Hamm, Stadt",krsfr. Stadt,115528.0000,115910.0000,115367.0000,115385.0000,117540.0000,117257.0000,116496.0000,176474.0000,176440.0000,176048.0000,176580.0000,179397.0000,179571.0000,179185.0000,87910.0000,88576.0000,89676.0000,89772.0000,89811.0000,54946.0000,55736.0000,56919.0000,58024.0000,59290.0000,226.4300
05916,"Herne, Stadt",krsfr. Stadt,100825.0000,100900.0000,101013.0000,100954.0000,101857.0000,102460.0000,101986.0000,154887.0000,154563.0000,154417.0000,154608.0000,155851.0000,156774.0000,156490.0000,77022.0000,76579.0000,76715.0000,76615.0000,76356.0000,46973.0000,47013.0000,47462.0000,47558.0000,48517.0000,51.4200
05954,Ennepe-Ruhr-Kreis,Landkreis,210594.0000,210286.0000,209182.0000,208598.0000,210484.0000,209213.0000,207584.0000,325145.0000,324223.0000,322731.0000,322916.0000,325954.0000,325374.0000,324670.0000,169059.0000,169739.0000,170387.0000,169637.0000,169952.0000,110665.0000,111677.0000,114172.0000,115296.0000,116796.0000,408.4600
05958,Hochsauerlandkreis,Landkreis,171920.0000,171620.0000,170683.0000,170270.0000,172107.0000,170621.0000,169833.0000,265199.0000,263720.0000,261999.0000,261561.0000,263762.0000,262269.0000,261591.0000,143033.0000,143195.0000,144173.0000,144302.0000,145148.0000,93479.0000,94708.0000,97799.0000,99180.0000,100590.0000,1960.1500
05962,Märkischer Kreis,Landkreis,275653.0000,274236.0000,271860.0000,269736.0000,271074.0000,268801.0000,266869.0000,422614.0000,419976.0000,416240.0000,413820.0000,416171.0000,414886.0000,413383.0000,224691.0000,224552.0000,223437.0000,224733.0000,225507.0000,150728.0000,151858.0000,153587.0000,155617.0000,157231.0000,1061.0500
05966,Olpe,Landkreis,90289.0000,90168.0000,90030.0000,89843.0000,90843.0000,89612.0000,89065.0000,136144.0000,135523.0000,134947.0000,134759.0000,136365.0000,134983.0000,134808.0000,75239.0000,75720.0000,76104.0000,77011.0000,77653.0000,51064.0000,51612.0000,52545.0000,53449.0000,54396.0000,712.1400
05970,Siegen-Wittgenstein,Landkreis,182175.0000,182245.0000,182001.0000,182452.0000,185828.0000,182813.0000,181826.0000,276227.0000,275594.0000,274904.0000,275909.0000,280800.0000,277933.0000,277977.0000,148902.0000,149322.0000,149621.0000,151704.0000,152758.0000,99936.0000,101413.0000,102752.0000,103973.0000,105815.0000,1132.8900
05974,Soest,Landkreis,193998.0000,194123.0000,193595.0000,194451.0000,199162.0000,197366.0000,196621.0000,296540.0000,296029.0000,294971.0000,296742.0000,302995.0000,301655.0000,301693.0000,158255.0000,159282.0000,161797.0000,162681.0000,164154.0000,103682.0000,105934.0000,109191.0000,110589.0000,112923.0000,1328.6400
05978,Unna,Landkreis,258212.0000,257373.0000,256137.0000,255360.0000,258233.0000,255006.0000,253543.0000,394873.0000,392940.0000,391622.0000,391774.0000,396035.0000,393869.0000,393934.0000,203930.0000,204044.0000,206615.0000,206517.0000,207853.0000,129241.0000,131127.0000,132880.0000,135328.0000,137797.0000,543.2100
06411,"Darmstadt, Stadt",krsfr. Stadt,100336.0000,102096.0000,103546.0000,104954.0000,107817.0000,109138.0000,109460.0000,145845.0000,147925.0000,149743.0000,151879.0000,155353.0000,157437.0000,158254.0000,74871.0000,75464.0000,76848.0000,79325.0000,81184.0000,50019.0000,51351.0000,52617.0000,53988.0000,55789.0000,122.0900
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,474577.0000,482638.0000,492752.0000,504078.0000,514930.0000,515502.0000,522089.0000,676533.0000,687775.0000,701350.0000,717624.0000,732688.0000,736414.0000,746878.0000,344024.0000,347643.0000,354500.0000,365467.0000,375740.0000,240320.0000,247640.0000,256159.0000,265260.0000,275762.0000,248.3100
06413,"Offenbach am Main, Stadt",krsfr. Stadt,77174.0000,78733.0000,80324.0000,81627.0000,83698.0000,84050.0000,85756.0000,114855.0000,116945.0000,119203.0000,120988.0000,123734.0000,124589.0000,126658.0000,60762.0000,61074.0000,62153.0000,63392.0000,65241.0000,39724.0000,40817.0000,41985.0000,43941.0000,46534.0000,44.8900
06414,"Wiesbaden, Stadt",krsfr. Stadt,178849.0000,179932.0000,180815.0000,180695.0000,180774.0000,181303.0000,181624.0000,270952.0000,272636.0000,273871.0000,275116.0000,276218.0000,277619.0000,278654.0000,139191.0000,141097.0000,143640.0000,145660.0000,146076.0000,94418.0000,96510.0000,97850.0000,99120.0000,101369.0000,203.9200
06431,Bergstraße,Landkreis,172333.0000,172704.0000,173002.0000,173132.0000,174900.0000,174652.0000,174245.0000,261158.0000,261695.0000,262322.0000,263822.0000,266928.0000,267935.0000,268780.0000,137421.0000,137402.0000,138889.0000,140501.0000,142141.0000,91227.0000,92748.0000,95575.0000,97676.0000,99730.0000,719.5100
06432,Darmstadt-Dieburg,Landkreis,189423.0000,189835.0000,190162.0000,190924.0000,193443.0000,193824.0000,193828.0000,283465.0000,284413.0000,285407.0000,287966.0000,292773.0000,294744.0000,296048.0000,152701.0000,153407.0000,156163.0000,156296.0000,157949.0000,102619.0000,104343.0000,106364.0000,108611.0000,111338.0000,658.6300
06433,Groß-Gerau,Landkreis,168286.0000,169898.0000,171345.0000,173112.0000,176508.0000,178005.0000,178936.0000,252770.0000,254883.0000,257301.0000,260793.0000,266042.0000,269045.0000,271403.0000,134879.0000,135587.0000,138517.0000,140142.0000,142211.0000,94427.0000,96362.0000,98379.0000,100567.0000,103325.0000,453.0400
06434,Hochtaunuskreis,Landkreis,143537.0000,144257.0000,144562.0000,145285.0000,146835.0000,147289.0000,147669.0000,226964.0000,228098.0000,229167.0000,230798.0000,233427.0000,234991.0000,235995.0000,109799.0000,110852.0000,111098.0000,113413.0000,114637.0000,76611.0000,77728.0000,79387.0000,80892.0000,82469.0000,482.0000
06435,Main-Kinzig-Kreis,Landkreis,265393.0000,266033.0000,266810.0000,267512.0000,270029.0000,272202.0000,271749.0000,401823.0000,403134.0000,404995.0000,407619.0000,411956.0000,416715.0000,418208.0000,211932.0000,212496.0000,215451.0000,216446.0000,218446.0000,143775.0000,145679.0000,149129.0000,151925.0000,155107.0000,1397.5500
06436,Main-Taunus-Kreis,Landkreis,144970.0000,145705.0000,146711.0000,147592.0000,149220.0000,150744.0000,151321.0000,224823.0000,226113.0000,228021.0000,229976.0000,232848.0000,235708.0000,236969.0000,118625.0000,119900.0000,122727.0000,123116.0000,123948.0000,84844.0000,86652.0000,87472.0000,88855.0000,90458.0000,222.3900
06437,Odenwaldkreis,Landkreis,63615.0000,63551.0000,63032.0000,62526.0000,62903.0000,62054.0000,61767.0000,96785.0000,96648.0000,96201.0000,96082.0000,97000.0000,96473.0000,96597.0000,49997.0000,50836.0000,50678.0000,51093.0000,51565.0000,32833.0000,33169.0000,33914.0000,34784.0000,35201.0000,623.9700
06438,Offenbach,Landkreis,219573.0000,220608.0000,221317.0000,222592.0000,225989.0000,226634.0000,226687.0000,334019.0000,336265.0000,338300.0000,341669.0000,347357.0000,349982.0000,351692.0000,177619.0000,179130.0000,181164.0000,181064.0000,182602.0000,121237.0000,123088.0000,125256.0000,127630.0000,131091.0000,356.2900
06439,Rheingau-Taunus-Kreis,Landkreis,117538.0000,117738.0000,117788.0000,117904.0000,118876.0000,119355.0000,119424.0000,180506.0000,180911.0000,181190.0000,182117.0000,184114.0000,185668.0000,186602.0000,94419.0000,94941.0000,96326.0000,96025.0000,96613.0000,63005.0000,63703.0000,65170.0000,66132.0000,66995.0000,811.4800
06440,Wetteraukreis,Landkreis,193636.0000,194173.0000,195366.0000,196160.0000,198944.0000,199682.0000,199559.0000,293113.0000,293940.0000,295408.0000,297369.0000,301931.0000,303914.0000,305312.0000,153300.0000,153289.0000,155189.0000,157392.0000,159825.0000,103657.0000,105037.0000,107571.0000,109984.0000,112498.0000,1100.6900
06531,Gießen,Landkreis,172630.0000,173140.0000,173641.0000,177989.0000,179645.0000,180853.0000,181180.0000,252587.0000,253041.0000,253820.0000,259834.0000,262505.0000,265699.0000,267056.0000,132310.0000,132662.0000,135100.0000,136607.0000,138721.0000,84768.0000,85779.0000,87693.0000,89855.0000,91587.0000,854.6700
06532,Lahn-Dill-Kreis,Landkreis,165794.0000,165385.0000,164782.0000,164401.0000,165243.0000,165058.0000,164304.0000,252899.0000,252106.0000,251327.0000,251440.0000,253167.0000,254074.0000,254164.0000,134011.0000,134502.0000,136557.0000,136250.0000,136562.0000,87951.0000,89022.0000,90553.0000,91919.0000,93226.0000,1066.5300
06533,Limburg-Weilburg,Landkreis,112711.0000,112408.0000,112542.0000,112633.0000,113545.0000,112958.0000,112251.0000,170471.0000,169904.0000,169964.0000,170385.0000,171922.0000,172120.0000,171971.0000,88463.0000,88468.0000,90034.0000,90308.0000,90944.0000,56996.0000,57676.0000,58908.0000,59799.0000,60889.0000,738.4700
06534,Marburg-Biedenkopf,Landkreis,164349.0000,164269.0000,164658.0000,164109.0000,166514.0000,165426.0000,166082.0000,241574.0000,241279.0000,241656.0000,241598.0000,245241.0000,245013.0000,246165.0000,126771.0000,127293.0000,128870.0000,129154.0000,129785.0000,83860.0000,84916.0000,86381.0000,87601.0000,88726.0000,1262.5300
06535,Vogelsbergkreis,Landkreis,70292.0000,69707.0000,69363.0000,68683.0000,69595.0000,68577.0000,67986.0000,107994.0000,106947.0000,106383.0000,105763.0000,107256.0000,106737.0000,106451.0000,58114.0000,57922.0000,57848.0000,57337.0000,57296.0000,37317.0000,37445.0000,39060.0000,39408.0000,39917.0000,1458.9900
06611,"Kassel, Stadt",krsfr. Stadt,129173.0000,130165.0000,131134.0000,131423.0000,134014.0000,134247.0000,135271.0000,191854.0000,192874.0000,194087.0000,194747.0000,197984.0000,199062.0000,200736.0000,94787.0000,96420.0000,98485.0000,101016.0000,102551.0000,60523.0000,62475.0000,63674.0000,65333.0000,67393.0000,106.7800
06631,Fulda,Landkreis,141397.0000,142007.0000,142334.0000,142793.0000,144886.0000,145075.0000,144717.0000,215945.0000,216093.0000,216314.0000,217326.0000,220132.0000,221170.0000,221783.0000,112033.0000,113682.0000,114944.0000,116308.0000,118261.0000,74139.0000,75697.0000,78470.0000,80198.0000,82274.0000,1380.4000
06632,Hersfeld-Rotenburg,Landkreis,77307.0000,76856.0000,76556.0000,76182.0000,77099.0000,76710.0000,76346.0000,120776.0000,120165.0000,119651.0000,119394.0000,121166.0000,121037.0000,121101.0000,61466.0000,61980.0000,62961.0000,62718.0000,62965.0000,40904.0000,41373.0000,42529.0000,43143.0000,43982.0000,1097.1100
06633,Kassel,Landkreis,150624.0000,150000.0000,148962.0000,148301.0000,149513.0000,149254.0000,148290.0000,234680.0000,234206.0000,233352.0000,233451.0000,235813.0000,236905.0000,236674.0000,122488.0000,122714.0000,123365.0000,125052.0000,125948.0000,82603.0000,83568.0000,85106.0000,86132.0000,87419.0000,1292.9100
06634,Schwalm-Eder-Kreis,Landkreis,118749.0000,117906.0000,117154.0000,116882.0000,117228.0000,117103.0000,116082.0000,181327.0000,180279.0000,179429.0000,179466.0000,180310.0000,181105.0000,180754.0000,94052.0000,94486.0000,95132.0000,95901.0000,96881.0000,63225.0000,64234.0000,66098.0000,66848.0000,67798.0000,1538.4900
06635,Waldeck-Frankenberg,Landkreis,102321.0000,101816.0000,101493.0000,101036.0000,101785.0000,101538.0000,100467.0000,158210.0000,157293.0000,156607.0000,156460.0000,157592.0000,157967.0000,157256.0000,84541.0000,84734.0000,85745.0000,85902.0000,86374.0000,57390.0000,57985.0000,59356.0000,60108.0000,61032.0000,1848.4400
06636,Werra-Meißner-Kreis,Landkreis,64863.0000,64149.0000,63748.0000,63308.0000,63641.0000,63468.0000,63317.0000,101843.0000,100913.0000,100356.0000,100206.0000,100715.0000,100965.0000,101101.0000,50271.0000,50239.0000,50426.0000,50903.0000,51141.0000,32512.0000,32902.0000,33640.0000,34035.0000,34695.0000,1024.6900
07111,"Koblenz, Stadt",krsfr. Stadt,71117.0000,72891.0000,73615.0000,74162.0000,75007.0000,75501.0000,75298.0000,107954.0000,109779.0000,110643.0000,111434.0000,112586.0000,113605.0000,113844.0000,54616.0000,55142.0000,56182.0000,57690.0000,58450.0000,34663.0000,34991.0000,36276.0000,37198.0000,38232.0000,105.1300
